Pla,ActWt,Dr,Rtg,RtgChange,Age,RC,Track,Course,Dist,Class,Daysincelastmatch,COC,No1,No2,No3,NoStarts,hrsW,hrsP,hrsNo2Per,hrsNo3Per,R10day,X1516TW,X1516T2,X1516T3,X1516T4,X1516TWper,X1516TTP,X1516TPper,X1516JW,X1516J3,X1516J4,X1516JR,X1516JWper,X1516JPper,RecencyFinish.average,Weight.Rel.,Weight.Rel.Dist
a14,117,9,81,-2,7,ST,Turf,A,1400,2,20,NZ,2,3,4,31,0.06,0.29,0.1,0.13,1,13,22,30,23,0.05285,65,0.26423,11,9,14,213,0.05164,0.14554,-0.08,-4.929,-6900.04
a04,129,9,54,-1,3,ST,Turf,C,1000,4,22,AUS,1,0,0,6,0.17,0.17,0,0,2,35,25,24,23,0.14056,84,0.33735,21,14,22,214,0.09813,0.22897,0.13,5.857,5857.1
a03,117,11,24,0,4,ST,Turf,A+3,1200,5,45,AUS,0,0,1,13,0,0.08,0,0.08,1,11,14,18,16,0.07051,43,0.27564,58,34,27,261,0.22222,0.52107,0.64,-4.357,-5228.52
a05,129,7,93,0,6,HV,Turf,C+3,1650,2,14,NZ,5,4,3,26,0.19,0.46,0.15,0.12,1,48,35,52,38,0.09393,135,0.26419,11,19,23,351,0.03134,0.14245,0,8.25,13612.5
a06,105,4,42,0,5,ST,Turf,C+3,1000,4,35,AUS,1,1,4,18,0.06,0.33,0.06,0.22,0,26,29,33,28,0.07808,88,0.26426,3,4,0,13,0.23077,0.53846,0.3,-16.643,-16642.9
a06,132,11,34,0,4,HV,Turf,B,1650,5,28,NZ,0,0,2,12,0,0.17,0,0.17,1,5,8,7,13,0.0365,20,0.14599,48,27,23,216,0.22222,0.53241,0.1,8,13200
a11,124,8,69,1,5,HV,Turf,C+3,2200,3,32,AUS,3,3,2,17,0.18,0.47,0.18,0.12,2,9,13,10,15,0.04639,32,0.16495,5,3,1,24,0.20833,0.41667,0.22,-0.083,-183.26
a09,124,10,71,0,4,ST,AWT,AWT,1650,3,0,AUS,1,0,0,7,0.14,0.14,0,0,0,12,18,23,19,0.04743,53,0.20949,22,23,19,253,0.08696,0.24901,0.1,3.643,6010.785
a09,126,2,52,0,4,ST,Turf,A+3,1200,4,23,NZ,0,0,0,1,0,0,0,0,1,14,12,22,15,0.07,48,0.24,3,3,6,110,0.02727,0.10909,-0.19,-0.429,-514.32
a01,121,1,47,-2,3,ST,Turf,A,1000,4,21,AUS,0,0,0,3,0,0,0,0,1,22,18,19,20,0.07612,59,0.20415,116,56,53,465,0.24946,0.52473,0.09,-1.357,-1357.1
