Pla,ActWt,Dr,Rtg,RtgChange,Age,RC,Track,Course,Dist,Class,Daysincelastmatch,COC,No1,No2,No3,NoStarts,hrsW,hrsP,hrsNo2Per,hrsNo3Per,R10day,X1516TW,X1516T2,X1516T3,X1516T4,X1516TWper,X1516TTP,X1516TPper,X1516JW,X1516J3,X1516J4,X1516JR,X1516JWper,X1516JPper,RecencyFinish.average,Weight.Rel.,Weight.Rel.Dist
a10,117,12,44,6,5,HV,Turf,A,1650,4,22,IRE,2,1,3,23,0.09,0.26,0.04,0.13,1,26,19,21,19,0.10317,66,0.2619,10,7,12,187,0.05348,0.14973,0.17,-6.667,-11000.055
a08,115,7,84,-2,5,ST,Turf,C,1400,2,22,AUS,3,3,3,24,0.13,0.38,0.13,0.13,1,7,16,13,18,0.03097,36,0.15929,15,13,14,227,0.06608,0.20705,-0.64,-5.727,-8018.22
a13,118,5,65,-2,7,ST,Turf,A,1600,3,20,NZ,4,1,2,27,0.148148148,0.259259259,0.037037037,0.074074074,1,9,6,8,4,0.123287671,23,0.315068493,4,5,7,109,0.036697248,0.137614679,-0.09,-3.642857143,196228.5714
a12,117,11,44,-2,4,ST,Turf,B+2,1400,4,39,NZ,0,0,0,5,0,0,0,0,1,22,18,25,22,0.10628,65,0.31401,5,10,10,140,0.03571,0.17143,0.85,-6.929,-9700.04
a08,126,7,50,-2,5,ST,AWT,AWT,1800,4,24,AUS,0,0,0,7,0,0,0,0,2,10,12,15,23,0.03906,37,0.14453,30,22,29,332,0.09036,0.22289,-0.13,1.1,1980
a12,127,11,56,-4,4,ST,Turf,C+3,1200,4,14,NZ,0,0,0,6,0,0,0,0,2,53,34,35,41,0.11597,122,0.26696,1,0,3,57,0.01754,0.07018,-0.29,4.25,5100
a06,122,7,49,-2,4,ST,AWT,AWT,1200,4,14,AUS,0,0,0,4,0,0,0,0,2,16,13,15,14,0.13115,44,0.36066,27,18,13,184,0.14674,0.38043,0.23,-1.2,-1400
a01,114,10,41,-2,7,HV,Turf,C,1200,4,14,GB,2,4,4,43,0.046511628,0.23255814,0.093023256,0.093023256,2,20,8,10,3,0.235294118,38,0.447058824,0,2,2,25,0,0.08,0.12,-6.083333333,144100
a04,128,3,73,6,3,ST,Turf,C+3,1400,3,10,IRE,1,0,0,8,0.13,0.13,0,0,2,21,17,18,20,0.14094,56,0.37584,56,30,26,243,0.23045,0.52263,-0.26,3.929,5500.04
a09,120,7,47,-2,6,ST,Turf,B,1400,4,24,NZ,2,1,0,18,0.11,0.17,0.06,0,1,18,17,17,18,0.07171,52,0.20717,100,51,48,415,0.24096,0.51807,0.1,-1.5,-2100
a13,118,8,45,-2,6,ST,Turf,B+2,1400,4,21,NZ,1,3,6,24,0.04,0.42,0.13,0.25,1,25,23,21,22,0.08117,69,0.22403,126,58,57,498,0.25301,0.52811,-0.01,-5.286,-7399.98
a11,128,4,56,-1,5,HV,Turf,B,1200,4,434,CAN,0,0,0,1,0,0,0,0,0,28,22,23,26,0.12444,73,0.32444,7,10,11,182,0.03846,0.14286,-0.35,2.583,3099.96
a07,123,2,97,0,6,ST,Turf,Turf,2000,G2,14,USA,1,2,3,16,0.0625,0.375,0.125,0.1875,2,7,15,10,20,0.051094891,32,0.233576642,4,6,9,100,0.04,0.21,0.22,-0.625,247250
a02,128,5,52,0,4,HV,Turf,C,1200,4,14,AUS,0,1,1,10,0,0.2,0.1,0.1,2,27,28,25,26,0.07781,80,0.23055,31,25,33,367,0.08447,0.22071,-0.09,4.917,5900.04
a10,131,3,58,-2,6,ST,Turf,C,1400,4,25,NZ,3,10,4,44,0.07,0.39,0.23,0.09,2,9,8,11,11,0.05028,28,0.15642,7,23,23,196,0.03571,0.22449,0.13,6.429,9000.04
a04,128,3,54,7,6,HV,Turf,A,1800,4,35,NZ,3,0,1,20,0.15,0.2,0,0.05,0,19,12,13,15,0.14,44,0.33,12,8,15,165,0.07,0.18,-0.01,3.3,5850
a02,125,11,93,-1,4,ST,Turf,B+2,1400,2,28,AUS,5,4,3,17,0.29,0.71,0.24,0.18,1,29,21,38,31,0.07612,88,0.23097,2,8,7,93,0.02151,0.17204,0.29,2.909,4072.74
a09,120,8,98,0,6,ST,Turf,A,1400,1,20,NZ,3,1,1,19,0.157894737,0.263157895,0.052631579,0.052631579,1,5,7,7,7,0.066666667,19,0.253333333,9,9,11,137,0.065693431,0.204379562,0.09,-2.8,171920
a05,111,1,14,-2,6,HV,Turf,C+3,1200,5,28,NZ,0,4,2,41,0,0.15,0.1,0.05,1,15,25,22,16,0.04451,62,0.18398,8,17,17,279,0.02867,0.15054,0.05,-14.917,-17900.04
a04,131,5,82,-4,6,HV,Turf,C,1200,1,229,GB,3,4,1,24,0.13,0.33,0.17,0.04,0,46,33,27,33,0.1811,106,0.41732,92,49,43,389,0.2365,0.52185,0.01,4,4800
a07,133,1,60,-2,4,ST,Turf,B,1200,4,22,AUS,0,1,0,7,0,0.14,0.14,0,1,25,19,21,18,0.10121,65,0.26316,25,23,23,259,0.09653,0.26641,0.12,5.643,6771.48
a07,128,6,54,-2,4,HV,Turf,C+3,1200,4,66,AUS,0,1,0,8,0,0.13,0.13,0,0,24,22,21,22,0.07921,67,0.22112,24,34,35,395,0.06076,0.23797,-0.23,5.667,6800.04
a07,113,12,42,-2,5,HV,Turf,B,2200,4,9,IRE,0,0,0,12,0,0,0,0,1,31,24,24,27,0.11524,79,0.29368,11,7,12,197,0.05584,0.14721,-0.1,-10.5,-23100
a01,121,1,68,-2,3,ST,Turf,A,1600,3,35,NZ,0,0,0,4,0,0,0,0,0,19,27,32,38,0.04439,78,0.18224,98,56,41,560,0.175,0.42679,-0.04,0,0
a06,121,3,108,0,5,ST,Turf,B,1200,G2,50,AUS,5,4,4,18,0.28,0.72,0.22,0.22,0,14,11,15,14,0.06796,40,0.19417,15,18,15,206,0.07282,0.26214,0.18,-0.625,-750
a13,118,3,65,0,4,ST,Turf,A,1000,3,26,AUS,0,0,0,1,0,0,0,0,1,13,18,23,19,0.06633,54,0.27551,18,12,24,233,0.07725,0.19313,0.38,-3.929,-3928.6
a09,126,2,72,0,4,ST,Turf,C+3,1600,3,22,NZ,3,1,2,11,0.27,0.55,0.09,0.18,2,53,34,32,30,0.14021,119,0.31481,68,41,26,437,0.15561,0.39817,0.35,6.357,10171.36
a06,126,6,33,-2,4,ST,AWT,AWT,1800,5,18,AUS,0,0,1,10,0,0.1,0,0.1,1,30,25,23,29,0.11905,78,0.30952,29,26,24,317,0.09148,0.26814,0.03,3.571,6428.52
a03,131,12,76,1,6,ST,Turf,A,1600,3,20,IRE,7,2,3,38,0.184210526,0.315789474,0.052631579,0.078947368,1,10,7,11,6,0.108695652,28,0.304347826,28,15,8,133,0.210526316,0.466165414,0.12,4.357142857,196228.5714
a01,123,9,115,0,5,ST,Turf,Turf,1600,G2,49,AUS,4,2,1,11,0.363636364,0.636363636,0.181818182,0.090909091,0,10,10,7,10,0.08,27,0.216,30,17,9,151,0.198675497,0.490066225,0.31,-0.833333333,198133.3333
a06,126,1,118,-2,6,ST,Turf,B,1400,G1,27,USA,3,2,3,19,0.16,0.42,0.11,0.16,1,34,39,31,32,0.10462,104,0.32,25,16,24,249,0.1004,0.23695,-0.08,0,0
a03,120,3,47,-2,6,HV,Turf,C,1800,4,14,NZ,3,0,1,27,0.11,0.15,0,0.04,1,41,41,33,36,0.09809,115,0.27512,160,76,73,647,0.2473,0.51623,-0.14,-3.083,-5549.94
a06,133,5,96,1,7,ST,Turf,C+3,1650,2,39,IRE,5,4,5,35,0.14,0.4,0.11,0.14,1,26,21,21,25,0.1244,68,0.32536,24,22,22,252,0.09524,0.26587,0.12,8.917,14712.555
a05,124,11,51,-1,5,HV,Turf,B,1650,4,28,NZ,1,3,2,20,0.05,0.3,0.15,0.1,2,25,16,20,23,0.13369,61,0.3262,10,12,11,132,0.07576,0.28788,0.24,-1.25,-2062.5
a11,117,12,63,-2,5,ST,Turf,B+2,1200,3,70,AUS,0,0,0,3,0,0,0,0,0,13,20,19,18,0.05372,52,0.21488,19,14,18,303,0.06271,0.16502,-0.29,-6.429,-7714.32
a07,119,4,66,0,4,HV,Turf,A,1650,3,37,IRE,2,1,1,11,0.18,0.36,0.09,0.09,1,16,15,29,22,0.05948,60,0.22305,4,7,12,193,0.02073,0.08808,0.15,-4.75,-7837.5
a06,130,5,73,0,5,ST,AWT,AWT,1200,3,25,NZ,1,1,0,8,0.13,0.25,0.13,0,1,62,42,29,45,0.19255,133,0.41304,124,58,54,482,0.25726,0.5332,0.19,5.583,6699.96
a13,132,4,82,0,4,ST,AWT,AWT,1800,3,18,AUS,4,1,1,18,0.22,0.33,0.06,0.06,1,47,27,33,32,0.1093,107,0.24884,15,24,29,258,0.05814,0.22093,0.21,7.286,13114.26
a04,130,1,36,0,4,HV,Turf,B,1650,5,36,NZ,1,0,1,12,0.08,0.17,0,0.08,0,23,24,29,26,0.05693,76,0.18812,70,42,26,446,0.15695,0.40135,0.23,4.083,6737.445
a11,126,12,58,-2,7,HV,Turf,A,1200,4,14,GB,2,4,3,45,0.04,0.2,0.09,0.07,2,5,13,14,14,0.02183,32,0.13974,19,22,19,307,0.06189,0.20195,0.27,6.25,7500
a08,123,5,95,-2,6,ST,Turf,C,2200,2,18,IRE,1,4,3,28,0.04,0.29,0.14,0.11,1,37,48,34,40,0.09296,119,0.29899,26,37,34,327,0.07951,0.30581,-0.14,2.786,6128.54
a14,133,12,80,0,4,ST,Turf,B,1200,3,44,GB,0,0,0,1,0,0,0,0,0,16,15,28,22,0.06154,59,0.22692,0,1,2,19,0,0.10526,-0.42,8.786,10542.84
a03,128,8,52,0,4,ST,Turf,A,1200,4,0,AUS,0,0,0,0,0,0,0,0,0,9,6,8,4,0.123287671,23,0.315068493,7,5,4,94,0.074468085,0.20212766,0,3.071428571,149914.2857
a05,114,6,90,0,3,ST,Turf,A,1400,1,0,IRE,0,0,0,0,0,0,0,0,0,7,13,10,20,0.055555556,30,0.238095238,3,6,9,78,0.038461538,0.205128205,0,-8.8,171920
a07,121,10,47,-1,4,HV,Turf,A,1200,4,38,NZ,0,2,5,43,0,0.162790698,0.046511628,0.11627907,0,8,9,2,5,0.084210526,19,0.2,12,13,15,122,0.098360656,0.237704918,0.08,1.833333333,143000
a10,132,9,38,0,6,HV,Turf,B,1650,5,28,IRE,2,1,0,32,0.06,0.09,0.03,0,1,32,19,24,25,0.10561,75,0.24752,87,48,41,371,0.2345,0.52022,0.06,8.917,14712.555
a07,128,7,75,-1,5,ST,Turf,A+3,2000,3,25,USA,1,1,1,15,0.07,0.2,0.07,0.07,1,39,28,42,32,0.0933,109,0.26077,37,37,35,412,0.08981,0.26699,0.24,4.889,9777.8
a10,117,14,48,0,3,ST,Turf,B+2,1000,4,28,AUS,0,0,1,4,0,0.25,0,0.25,1,37,35,59,41,0.06703,131,0.23732,14,25,24,315,0.04444,0.16508,-0.02,123.643,123642.9
a09,119,12,81,-1,4,ST,Turf,A+3,1400,2,63,AUS,0,0,0,6,0,0,0,0,2,59,37,36,35,0.14217,132,0.31807,32,25,34,381,0.08399,0.22047,-0.21,-3.571,-4999.96
a03,130,4,37,-2,6,ST,AWT,AWT,1200,5,25,NZ,2,6,0,34,0.06,0.24,0.18,0,1,12,24,22,28,0.03604,58,0.17417,71,42,27,451,0.15743,0.40133,0.14,9.333,11199.96
a09,123,4,32,-2,5,HV,Turf,C,1650,5,21,NZ,1,2,2,27,0.04,0.19,0.07,0.07,1,26,21,37,28,0.07242,84,0.23398,17,12,16,277,0.06137,0.15884,0.1,-0.5,-825
a06,123,14,70,0,3,ST,Turf,C,1400,3,21,AUS,0,0,0,1,0,0,0,0,1,7,12,20,15,0.03286,39,0.1831,30,20,30,325,0.09231,0.23077,-0.04,-0.786,-1099.98
a05,112,2,47,-3,6,ST,Turf,A+3,2000,4,20,AUS,0,4,2,36,0,0.17,0.11,0.06,1,51,28,34,35,0.11111,113,0.24619,9,17,12,205,0.0439,0.1561,0.03,-11.571,-23142.8
a01,120,12,64,1,5,HV,Turf,B,1000,3,35,NZ,1,0,0,9,0.11,0.11,0,0,0,58,39,28,41,0.18954,125,0.4085,113,55,52,457,0.24726,0.52079,0.17,-2.25,-2250
a04,129,2,74,0,4,ST,Turf,B+2,1200,3,35,AUS,3,1,0,7,0.43,0.57,0.14,0,0,64,44,30,47,0.19048,138,0.41071,26,36,31,313,0.08307,0.3131,0.14,6.643,7971.48
a01,131,5,75,0,4,HV,Turf,C+3,1200,3,24,NZ,1,3,2,13,0.08,0.46,0.23,0.15,1,25,42,27,29,0.05828,94,0.21911,99,56,42,566,0.17491,0.4258,0.35,7.083,8499.96
a02,124,3,51,2,4,HV,Turf,A,1200,4,29,AUS,0,1,0,6,0,0.17,0.17,0,1,39,27,27,30,0.16883,93,0.4026,46,30,17,283,0.16254,0.41343,0.24,1.5,1800
a01,132,3,79,6,4,ST,AWT,AWT,1650,3,7,AUS,4,2,0,15,0.27,0.4,0.13,0,2,14,13,13,11,0.1037,40,0.2963,12,9,16,171,0.07018,0.18713,0.08,10,16500
a07,113,2,40,-2,7,HV,Turf,C+3,1200,4,13,SAF,3,0,2,44,0.07,0.11,0,0.05,1,6,14,16,14,0.0241,36,0.14458,19,23,23,341,0.05572,0.19062,-0.19,-11.333,-13599.96
a12,126,12,52,0,3,ST,Turf,A+3,1200,4,28,AUS,0,0,0,1,0,0,0,0,1,18,23,18,13,0.0793,59,0.25991,61,39,24,389,0.15681,0.4036,0.27,3.571,4285.68
a06,118,7,25,-2,4,ST,Turf,C+3,1800,5,14,AUS,0,0,2,17,0,0.12,0,0.12,1,46,67,43,48,0.08519,156,0.28889,158,75,73,638,0.24765,0.51724,-0.04,-6.429,-11571.48
a13,121,1,68,0,4,ST,Turf,C+3,1400,3,22,AUS,0,0,0,1,0,0,0,0,1,7,8,15,14,0.05833,30,0.25,12,15,13,162,0.07407,0.25309,-0.12,-0.4,-500
a01,129,8,78,-2,5,ST,Turf,C+3,1200,3,41,NZ,3,2,3,17,0.18,0.47,0.12,0.18,0,22,12,17,17,0.14194,51,0.32903,7,4,11,124,0.05645,0.15323,-0.26,7.417,8900.04
a01,129,1,55,-1,4,HV,Turf,C+3,1200,4,14,IRE,0,1,1,12,0,0.166666667,0.083333333,0.083333333,2,7,17,12,23,0.046052632,36,0.236842105,0,2,4,60,0,0.033333333,0.05,3.666666667,150400
a03,125,5,70,7,3,HV,Turf,A,1200,3,28,AUS,2,2,0,5,0.4,0.8,0.4,0,1,12,25,26,31,0.03352,63,0.17598,34,22,36,359,0.09471,0.2312,0.42,1.75,2100
a10,125,7,54,-2,6,HV,Turf,C+3,1650,4,21,NZ,0,1,1,12,0,0.17,0.08,0.08,1,32,30,26,32,0.10702,88,0.29431,19,13,18,295,0.06441,0.15932,0.04,0.917,1512.555
a04,124,4,51,-2,5,ST,Turf,A,1200,4,98,AUS,1,1,1,12,0.08,0.25,0.08,0.08,0,50,27,34,33,0.11211,111,0.24888,74,74,28,465,0.15914,0.46882,0.1,-1.214,-1457.16
a13,120,7,67,0,6,ST,Turf,A,1400,3,28,AUS,3,1,2,26,0.115384615,0.230769231,0.038461538,0.076923077,1,13,11,8,6,0.134020619,32,0.329896907,2,3,8,77,0.025974026,0.077922078,0.05,1.857142857,171000
a07,123,7,70,-1,3,HV,Turf,C,1200,3,17,AUS,0,0,1,4,0,0.25,0,0.25,1,15,27,28,33,0.03937,70,0.18373,36,27,41,414,0.08696,0.22222,0.27,3.5,4200
a05,132,3,79,0,4,ST,Turf,A+3,1000,3,80,NZ,3,0,3,8,0.38,0.75,0,0.38,0,5,8,9,7,0.03937,22,0.17323,58,34,27,261,0.22222,0.52107,0.29,9.571,9571.4
a08,119,11,48,-4,4,ST,Turf,A,1400,4,146,AUS,0,0,0,2,0,0,0,0,0,10,7,11,6,0.108695652,28,0.304347826,9,9,11,137,0.065693431,0.204379562,-0.31,-3.642857143,171700
a11,124,6,50,-2,3,HV,Turf,C+3,1000,4,10,NZ,0,0,0,2,0,0,0,0,2,45,30,32,36,0.11598,107,0.27577,27,38,37,353,0.07649,0.30028,-0.15,1.833,1833.3
a10,130,13,79,-2,4,ST,Turf,B+2,1200,3,25,IRE,2,4,2,19,0.11,0.42,0.21,0.11,2,27,21,19,22,0.16168,67,0.4012,4,6,9,118,0.0339,0.13559,0.25,6.857,8228.52
a11,119,8,73,-2,4,ST,Turf,A,1400,3,18,NZ,1,1,2,15,0.07,0.27,0.07,0.13,2,28,25,33,31,0.05957,86,0.18298,10,21,15,245,0.04082,0.15918,-0.14,-3.286,-4599.98
a06,126,3,89,1,4,ST,Turf,C+3,1200,2,21,NZ,3,3,3,14,0.21,0.64,0.21,0.21,1,25,42,26,27,0.06053,93,0.22518,13,23,17,210,0.0619,0.26667,0.31,4.25,5100
a08,117,8,62,0,7,HV,Turf,C+3,1200,3,63,AUS,1,5,2,31,0.03,0.26,0.16,0.06,0,19,24,19,14,0.08155,62,0.26609,4,10,10,242,0.01653,0.10331,0.23,-6.167,-7400.04
a05,124,7,52,-3,6,ST,AWT,AWT,1200,4,28,AUS,3,4,4,35,0.09,0.31,0.11,0.11,1,8,12,7,18,0.0339,27,0.11441,20,25,25,377,0.05305,0.19098,-0.12,124.667,149600.04
a07,120,13,47,-2,5,ST,Turf,C+3,1600,4,20,NZ,0,0,1,6,0,0.17,0,0.17,1,17,17,14,22,0.05822,48,0.16438,5,8,10,99,0.05051,0.20202,-0.06,-1.643,-2628.64
a04,124,8,51,0,6,ST,AWT,AWT,1650,4,31,IRE,1,0,2,17,0.06,0.18,0,0.12,1,31,24,25,27,0.11355,80,0.29304,23,30,21,248,0.09274,0.31855,0.26,3.143,5185.785
a05,118,5,45,5,5,ST,Turf,C+3,1400,4,48,NZ,1,2,1,19,0.05,0.21,0.11,0.05,1,7,12,9,6,0.0407,28,0.16279,69,42,35,307,0.22476,0.51466,0.17,-8.071,-11299.96
a03,114,13,61,0,6,ST,AWT,AWT,1650,3,18,IRE,2,5,4,37,0.05,0.3,0.14,0.11,1,20,12,13,17,0.14388,45,0.32374,10,12,13,187,0.05348,0.20321,0.24,-8,-13200
a09,115,8,70,-1,3,HV,Turf,B,1800,3,17,AUS,0,0,0,2,0,0,0,0,1,12,14,18,25,0.03974,44,0.1457,12,21,16,218,0.05505,0.20183,-0.15,-7.111,-12799.98
a04,123,13,49,-1,3,ST,Turf,B+2,1000,4,14,NZ,0,0,1,3,0,0.33,0,0.33,1,34,30,31,22,0.09577,95,0.26761,40,29,46,440,0.09091,0.23409,-0.01,123.643,123642.9
a09,108,3,45,-2,5,HV,Turf,A,1200,4,42,NZ,0,0,0,16,0,0,0,0,0,38,27,37,30,0.10053,102,0.26984,7,19,14,157,0.04459,0.22293,0.13,-11.75,-14100
a03,125,9,69,0,5,HV,Turf,A,1000,3,38,GB,3,2,1,21,0.14,0.29,0.1,0.05,1,28,30,19,23,0.07198,77,0.19794,39,51,58,614,0.06352,0.23941,0.26,2,2000
a12,119,10,43,-2,5,HV,Turf,A,1200,4,38,AUS,0,2,0,12,0,0.17,0.17,0,0,48,32,32,36,0.1203,112,0.2807,0,0,2,19,0,0,-0.01,-2.75,-3300
a05,125,8,97,4,4,ST,Turf,C,2200,2,21,FR,0,0,0,4,0,0,0,0,1,51,33,32,29,0.14127,116,0.32133,30,20,30,325,0.09231,0.23077,0.08,4.786,10528.54
a12,121,5,70,-3,4,ST,Turf,A,1400,3,28,AUS,0,0,0,4,0,0,0,0,1,37,35,56,39,0.06955,128,0.2406,17,34,31,439,0.03872,0.16401,-0.27,-2.857,-3999.94
a08,123,10,70,-2,4,HV,Turf,A,1650,3,32,AUS,0,0,0,5,0,0,0,0,1,3,8,15,11,0.02069,26,0.17931,81,48,39,354,0.22881,0.51977,-0.69,-0.75,-1237.5
a06,130,14,79,0,5,ST,Turf,A,1400,3,28,IRE,2,4,7,33,0.06,0.39,0.12,0.21,1,46,69,43,48,0.08348,158,0.28675,25,24,27,445,0.05618,0.18427,0.18,6.143,8600.06
a07,117,4,81,-2,5,ST,Turf,C+3,1000,2,83,AUS,1,0,2,16,0.06,0.19,0,0.13,0,11,9,10,12,0.06748,30,0.18405,0,1,1,5,0,0.2,-0.38,-6.083,-6083.3
a11,129,12,36,-1,8,HV,Turf,C,1800,5,14,NZ,2,12,11,61,0.03,0.41,0.2,0.18,1,14,11,22,12,0.07609,47,0.25543,14,15,15,172,0.0814,0.23837,0.26,4.4,7920
a02,120,7,47,0,6,HV,Turf,A,1650,4,22,NZ,1,0,0,16,0.06,0.06,0,0,1,8,15,9,6,0.04124,32,0.16495,3,4,7,151,0.01987,0.09934,0.13,-3.667,-6050.055
a09,121,11,73,0,5,HV,Turf,A,1200,3,28,AUS,3,3,3,29,0.1,0.31,0.1,0.1,1,45,44,34,39,0.10181,123,0.27828,15,25,24,324,0.0463,0.16358,0.17,-0.5,-600
a09,126,2,59,0,3,ST,AWT,AWT,1200,4,14,NZ,1,1,0,6,0.17,0.33,0.17,0,2,29,22,39,32,0.07398,90,0.22959,7,12,10,168,0.04167,0.14286,0.13,4,4800
a08,129,14,58,-2,6,ST,AWT,AWT,1650,4,41,AUS,0,2,1,15,0,0.2,0.13,0.07,1,10,14,12,10,0.07937,36,0.28571,9,4,12,138,0.06522,0.15942,0.25,8.429,13907.19
a01,128,1,55,-1,5,HV,Turf,C,1200,4,21,AUS,0,0,4,15,0,0.27,0,0.27,1,12,17,15,12,0.06522,44,0.23913,92,49,43,389,0.2365,0.52185,0.29,1.417,1700.04
a05,132,8,59,-1,4,ST,Turf,B,1200,4,22,AUS,0,3,3,12,0,0.5,0.25,0.25,1,8,8,10,11,0.04651,26,0.15116,79,47,36,343,0.23032,0.52478,0.23,4.643,5571.48
a05,130,10,94,0,4,ST,Turf,C,1400,2,22,AUS,5,4,3,15,0.33,0.8,0.27,0.2,1,17,15,31,22,0.06227,63,0.23077,15,24,20,279,0.05376,0.22222,0.29,9.273,12981.78
a10,112,6,40,-3,3,HV,Turf,C,1200,4,21,AUS,0,0,0,6,0,0,0,0,1,44,62,41,46,0.08998,147,0.30061,17,29,30,396,0.04293,0.16162,-0.18,-7.833,-9399.96
a01,127,6,57,-2,4,HV,Turf,A,1000,4,31,AUS,0,0,2,9,0,0.22,0,0.22,1,38,35,59,41,0.06786,132,0.23571,15,25,24,324,0.0463,0.16358,0.03,3.083,3083.3
a09,114,4,82,2,6,ST,Turf,Turf,1200,2,151,AUS,1,3,2,19,0.052631579,0.315789474,0.157894737,0.105263158,0,6,12,8,9,0.063157895,26,0.273684211,12,10,12,155,0.077419355,0.212903226,0.1,4,142800
a02,127,2,74,0,4,HV,Turf,C+3,1650,3,21,AUS,3,1,0,9,0.33,0.44,0.11,0,1,33,29,30,21,0.09565,92,0.26667,99,56,42,566,0.17491,0.4258,0.06,4.5,7425
a04,117,7,46,0,7,HV,Turf,A,1200,4,49,AUS,5,1,2,31,0.16,0.26,0.03,0.06,1,14,12,23,17,0.06573,49,0.23005,6,14,14,187,0.03209,0.14973,0.33,-7.75,-9300
a03,123,1,68,3,4,ST,Turf,A,1400,3,20,GB,1,1,0,2,0.5,1,0.5,0,1,16,15,16,17,0.06667,47,0.19583,15,21,19,210,0.07143,0.28095,0.46,-1.429,-2000.04
a09,123,7,50,-3,6,HV,Turf,C,1650,4,32,NZ,2,3,1,26,0.08,0.23,0.12,0.04,2,8,18,13,8,0.03636,39,0.17727,7,11,13,196,0.03571,0.14286,-0.21,-1.25,-2062.5
a08,122,8,49,-1,6,ST,Turf,A,1600,4,21,GB,2,0,1,21,0.1,0.14,0,0.05,1,16,28,23,18,0.04301,67,0.18011,9,13,26,344,0.02616,0.08721,0.17,-0.143,-228.64
a09,133,11,58,-2,8,HV,Turf,B,1200,4,28,IRE,5,6,3,59,0.08,0.24,0.1,0.05,1,4,13,12,11,0.02326,29,0.1686,15,25,21,286,0.05245,0.22028,-0.04,7.833,9399.96
a07,126,8,91,0,7,HV,Turf,C,1650,2,24,NZ,5,5,4,43,0.11627907,0.325581395,0.11627907,0.093023256,1,6,9,6,9,0.050847458,21,0.177966102,11,10,12,147,0.074829932,0.210884354,-0.03,5.75,198412.5
a01,116,8,45,0,6,ST,Turf,A,1800,4,8,GB,1,0,1,17,0.06,0.12,0,0.06,1,9,18,13,8,0.04054,40,0.18018,7,11,13,200,0.035,0.145,0.08,-6.071,-10928.52
a01,133,11,60,-2,7,ST,Turf,C,1400,4,0,AUS,1,5,2,32,0.03,0.25,0.16,0.06,0,24,27,24,16,0.08362,75,0.26132,81,24,16,287,0.28223,0.45993,0.21,10.615,14861.56
a09,118,6,84,0,4,ST,Turf,A,2000,2,8,AUS,0,0,0,4,0,0,0,0,3,38,28,24,25,0.13818,90,0.32727,1,1,2,11,0.09091,0.18182,-0.15,-4.273,-8545.4
a08,122,3,64,-1,6,ST,AWT,AWT,1200,3,28,AUS,4,1,4,40,0.1,0.23,0.03,0.1,2,33,38,43,40,0.07483,114,0.2585,4,5,9,75,0.05333,0.12,0.08,123.333,147999.96
a07,119,2,46,-3,3,HV,Turf,A,1000,4,38,AUS,0,0,0,3,0,0,0,0,1,45,44,34,39,0.10181,123,0.27828,14,21,23,374,0.03743,0.14973,-0.27,-4.917,-4916.7
a04,129,6,58,-2,5,ST,Turf,C,1200,4,15,AUS,2,3,0,31,0.064516129,0.161290323,0.096774194,0,2,11,6,10,4,0.123595506,27,0.303370787,14,12,13,166,0.084337349,0.222891566,-0.04,3.25,149700
a05,126,6,53,0,4,HV,Turf,A,1200,4,98,AUS,0,1,2,7,0,0.43,0.14,0.29,0,12,9,12,12,0.06742,33,0.18539,9,9,10,115,0.07826,0.26087,0.24,1.25,1500
a01,120,2,67,0,5,ST,Turf,C,1400,3,32,AUS,1,0,2,16,0.06,0.19,0,0.13,2,27,22,17,20,0.12329,66,0.30137,63,40,33,289,0.21799,0.51557,0.27,-0.786,-1099.98
a02,122,9,87,-2,5,ST,Turf,A,1200,2,56,NZ,0,2,3,10,0,0.5,0.2,0.3,1,3,8,9,8,0.026,20,0.172,7,4,11,113,0.062,0.142,0.17,-0.357,-428.571
a12,108,7,17,-2,5,HV,Turf,A,1200,5,56,NZ,0,0,0,9,0,0,0,0,1,4,4,2,6,0.0367,10,0.09174,1,2,3,56,0.01786,0.07143,-0.24,-16.167,-19400.04
a10,121,6,50,0,3,ST,Turf,C,1000,4,21,AUS,0,1,0,4,0,0.25,0.25,0,1,12,12,9,10,0.084507042,33,0.232394366,14,12,13,166,0.084337349,0.222891566,0.23,-1.5,122500
a06,130,3,125,-1,6,ST,Turf,A,1200,4,21,AUS,5,2,6,24,0.21,0.54,0.08,0.25,1,61,40,43,39,0.13556,144,0.32,6,7,4,38,0.15789,0.42105,0.27,9.1,10920
a04,121,11,48,0,6,HV,Turf,C,1200,4,21,AUS,1,0,1,8,0.125,0.25,0,0.125,1,13,10,13,7,0.128712871,36,0.356435644,30,16,8,143,0.20979021,0.482517483,0.15,0.916666667,144100
a05,126,2,33,-1,6,HV,Turf,A,1200,5,70,IRE,1,3,2,32,0.03,0.19,0.09,0.06,0,15,20,17,14,0.08772,52,0.30409,17,17,17,214,0.07944,0.23832,0.27,1.833,2199.96
a04,125,1,51,-2,5,ST,AWT,AWT,1200,4,67,IRE,0,1,2,15,0,0.2,0.07,0.13,1,5,4,2,6,0.04464,11,0.09821,3,4,7,92,0.03261,0.11957,0.26,2.417,2900.04
a13,109,9,41,-1,5,ST,AWT,AWT,1650,4,97,NZ,0,2,1,15,0,0.2,0.13,0.07,0,26,21,16,18,0.13402,63,0.32474,1,2,2,45,0.02222,0.08889,0.38,-11.571,-19092.81
