"","Filename","Location","Habitat","Season","H","RelStr","RelStr_Norm"
"333","S4A01321_20170510_092219.wav","AirP","NonCore","Wet","H1",0.029094553,0.359875153130189
"334","S4A01321_20170510_093752.wav","MaPkS","NonCore","Wet","H1",0.035449713,0.438483137867636
"335","S4A01321_20170510_095900.wav","MaPkN","NonCore","Wet","H1",0.036834461,0.455611306104032
"336","S4A01321_20170510_100736.wav","MaPkM","NonCore","Wet","H1",0.026290706,0.325193923675362
"337","S4A01321_20170510_104324.wav","TaiO","Core","Wet","H1",0.072682553,0.899022057179159
"338","S4A01321_20170510_113943.wav","PkHi","Core","Wet","H1",0.039795023,0.492230968317141
"339","S4A01321_20170510_115535.wav","FanL","Core","Wet","H1",0.043796318,0.541723622520973
"340","S4A01321_20170510_123632.wav","TsLk","Core","Wet","H1",0.046240469,0.571955714947288
"341","S4A01321_20170629_103301.wav","FanL","Core","Wet","H1",0.058113052,0.718809582239075
"342","S4A01321_20170629_105542.wav","FLSP","NonCore","Wet","H1",0.045626667,0.564363500392845
"343","S4A01321_20170629_110645.wav","ShPk","NonCore","Wet","H1",0.048240517,0.596694626738362
"344","S4A01321_20170629_113831.wav","ChSh","NonCore","Wet","H1",0.046108901,0.570328329431276
"345","S4A01321_20170629_115541.wav","SokoM","NonCore","Wet","H1",0.054944696,0.679619682993297
"346","S4A01321_20170629_120901.wav","ShipL","NonCore","Wet","H1",0.044649415,0.552275714986869
"347","S4A01321_20170629_123345.wav","PkHi","Core","Wet","H1",0.071709906,0.886991231750543
"348","S4A01321_20170629_125646.wav","TsLk","Core","Wet","H1",0.059382049,0.734506007947927
"349","S4A01321_20170630_102135.wav","FLSP","NonCore","Wet","H1",0.055946309,0.692008793482542
"350","S4A01321_20170630_105309.wav","ShPk","NonCore","Wet","H1",0.040747215,0.504008782597682
"351","S4A01321_20170630_111344.wav","ChSh","NonCore","Wet","H1",0.044793771,0.554061277308629
"352","S4A01321_20170630_112951.wav","SokoM","NonCore","Wet","H1",0.066372148,0.820967654154355
"353","S4A01321_20170630_114247.wav","ShipL","NonCore","Wet","H1",0.049563603,0.613060087890296
"354","S4A01321_20170630_115601.wav","FanL","Core","Wet","H1",0.042019674,0.519748030335115
"355","S4A01321_20170630_123215.wav","TsLk","Core","Wet","H1",0.065236548,0.806921237153391
"356","S4A01321_20170712_093429.wav","AirP","NonCore","Wet","H1",0.024537711,0.30351084973154
"357","S4A01321_20170712_095132.wav","MaPkS","NonCore","Wet","H1",0.028140849,0.348078636681186
"358","S4A01321_20170712_101240.wav","MaPkN","NonCore","Wet","H1",0.040623349,0.502476664344563
"359","S4A01321_20170712_102303.wav","MaPkM","NonCore","Wet","H1",0.04013626,0.496451783039013
"360","S4A01321_20170712_105153.wav","Bros","NonCore","Wet","H1",0.054592842,0.675267544909943
"361","S4A01321_20170712_114021.wav","TaiO","Core","Wet","H1",0.054358791,0.672372530868473
"362","S4A01321_20170712_115233.wav","TsLk","Core","Wet","H1",0.071741796,0.887385684232192
"363","S4A01321_20170714_094848.wav","PkHi","Core","Wet","H1",0.055821337,0.69046299493953
"364","S4A01321_20170714_105723.wav","TsLk","Core","Wet","H1",0.066076997,0.817316884495803
"365","S4A01321_20170714_114755.wav","AirP","NonCore","Wet","H1",0.027840553,0.344364227699396
"366","S4A01321_20170714_120342.wav","MaPkS","NonCore","Wet","H1",0.035465403,0.438677209972907
"367","S4A01321_20170714_122239.wav","MaPkN","NonCore","Wet","H1",0.034115697,0.421982481807441
"368","S4A01321_20170720_100229.wav","FanL","Core","Wet","H1",0.066924913,0.827804892348735
"369","S4A01321_20170720_101520.wav","FLSP","NonCore","Wet","H1",0.062549762,0.773687953824445
"370","S4A01321_20170720_105058.wav","ChSh","NonCore","Wet","H1",0.044969669,0.556236987644694
"371","S4A01321_20170720_110805.wav","SokoM","NonCore","Wet","H1",0.052352705,0.647558934095142
"372","S4A01321_20170720_124214.wav","TaiO","Core","Wet","H1",0.064270159,0.794967817922021
"373","S4A01321_20170720_130547.wav","AirP","NonCore","Wet","H1",0.029033737,0.359122910354273
"374","S4A01321_20170720_132351.wav","MaPkS","NonCore","Wet","H1",0.024695705,0.305465102644229
"375","S4A01321_20170720_134650.wav","MaPkN","NonCore","Wet","H1",0.06431061,0.795468162774175
"376","S4A01321_20170726_095832.wav","FanL","Core","Wet","H1",0.040609249,0.50230225920216
"377","S4A01321_20170726_105010.wav","ShPk","NonCore","Wet","H1",0.036096858,0.446487777291807
"378","S4A01321_20170726_111110.wav","ChSh","NonCore","Wet","H1",0.02409356,0.298017075376666
"379","S4A01321_20170726_112846.wav","SokoM","NonCore","Wet","H1",0.038915964,0.48135774774436
"380","S4A01321_20170726_121829.wav","TsLk","Core","Wet","H1",0.045285448,0.560142908315835
"381","S4A01321_20170726_122805.wav","TaiO","Core","Wet","H1",0.046470741,0.574803985936761
"382","S4A01321_20170815_091703.wav","PkHi","Core","Wet","H1",0.050776976,0.628068491496945
"383","S4A01321_20170815_104349.wav","ChSh","NonCore","Wet","H1",0.028042884,0.346866892016252
"384","S4A01321_20170815_110044.wav","SokoM","NonCore","Wet","H1",0.052979917,0.655317019072254
"385","S4A01321_20170921_091531.wav","PkHi","Core","Wet","H1",0.049616773,0.613717756076226
"386","S4A01321_20170921_093139.wav","FanL","Core","Wet","H1",0.051565991,0.637827943513514
"387","S4A01321_20170921_094613.wav","FLSP","NonCore","Wet","H1",0.031958086,0.395294648211222
"388","S4A01321_20170921_095801.wav","ShPk","NonCore","Wet","H1",0.016748362,0.207163153165812
"389","S4A01321_20170921_101334.wav","ChSh","NonCore","Wet","H1",0.023136241,0.286175844417749
"390","S4A01321_20170921_102919.wav","SokoM","NonCore","Wet","H1",0.039916678,0.493735738359632
"391","S4A01321_20170921_104328.wav","ShipL","NonCore","Wet","H1",0.026923587,0.333022129415048
"392","S4A01321_20170921_112551.wav","TsLk","Core","Wet","H1",0.04683685,0.579332446382169
"393","S4A01321_20170921_113745.wav","TaiO","Core","Wet","H1",0.038294416,0.473669721684026
"394","S4A01321_20170921_120136.wav","AirP","NonCore","Wet","H1",0.012762791,0.157864991618658
"395","S4A01321_20170921_121821.wav","MaPkS","NonCore","Wet","H1",0.01276673,0.1579137137361
"396","S4A01321_20170921_123849.wav","MaPkN","NonCore","Wet","H1",0.028073884,0.347250335946359
"397","S4A01321_20170921_125204.wav","MaPkM","NonCore","Wet","H1",0.013386334,0.165577694151268
"398","S4A01321_20170928_094052.wav","AirP","NonCore","Wet","H1",0.025793819,0.31904784934958
"399","S4A01321_20170928_100039.wav","MaPkS","NonCore","Wet","H1",0.043581481,0.539066269501216
"400","S4A01321_20170928_102320.wav","MaPkN","NonCore","Wet","H1",0.044950503,0.555999920342616
