,SC_ID,Pkey,GLG,Weight,d15N,d13C,N_per,C_per,YOB,CalenderYear,CNRatio,CNR,Site,AgeClass,sample_per_ID,Net_d15N,Weaning,Species,Sex,Lat,Lon,TBL,Region
35,HKSC110602-2,471,2,1.964,13.1,-14.1,2.22,6.38,1988,1990,2.873873874,U,HK,Juvenile,12,-3,Y,SC,F,22.47833333,113.8933333,#N/A,EPRE
36,HKSC110602-2,472,3,1.847,12.8,-14.5,2.06,6.17,1988,1991,2.995145631,U,HK,Juvenile,12,-3.3,Y,SC,F,22.47833333,113.8933333,#N/A,EPRE
37,HKSC110602-2,473,4,1.865,12.5,-14.5,1.98,5.83,1988,1992,2.944444444,U,HK,Juvenile,12,-3.6,Y,SC,F,22.47833333,113.8933333,#N/A,EPRE
38,HKSC110602-2,474,5,1.563,11.6,-14.4,2.14,6.36,1988,1993,2.971962617,U,HK,Juvenile,12,-4.5,Y,SC,F,22.47833333,113.8933333,#N/A,EPRE
39,HKSC110602-2,475,6,2.323,11.6,-14.1,2.03,6.01,1988,1994,2.960591133,U,HK,Juvenile,12,-4.5,Y,SC,F,22.47833333,113.8933333,#N/A,EPRE
40,HKSC110602-2,476,7,1.423,11.8,-14.9,2.11,6.91,1988,1995,3.274881517,U,HK,Juvenile,12,-4.3,Y,SC,F,22.47833333,113.8933333,#N/A,EPRE
41,HKSC110602-2,477,8,1.262,12.7,-13.8,2.11,6.36,1988,1996,3.014218009,U,HK,Juvenile,12,-3.4,Y,SC,F,22.47833333,113.8933333,#N/A,EPRE
42,HKSC110602-2,478,9,1.366,12.9,-14.1,2.17,6.36,1988,1997,2.930875576,U,HK,Juvenile,12,-3.2,Y,SC,F,22.47833333,113.8933333,#N/A,EPRE
43,HKSC110602-2,479,10,1.462,12.4,-13.8,2.08,6.19,1988,1998,2.975961538,U,HK,Juvenile,12,-3.7,Y,SC,F,22.47833333,113.8933333,#N/A,EPRE
44,HKSC110602-2,480,11,1.167,12.7,-14.3,2.19,6.69,1988,1999,3.054794521,U,HK,Adult,12,-3.4,Y,SC,F,22.47833333,113.8933333,#N/A,EPRE
45,HKSC110602-2,481,12,1.271,12,-13.8,2.24,6.74,1988,2000,3.008928571,U,HK,Adult,12,-4.1,Y,SC,F,22.47833333,113.8933333,#N/A,EPRE
