,Pkey,SC_ID,Region,GLG,Weight,d15N,d13C,N_per,C_per,YOB,CalenderYear,CNRatio,CNR,Site,AgeClass,sample_per_ID,Net_d15N,Weaning
267,481,HKSC110602-2,EPRE,12,1.271,12,-13.8,2.24,6.74,1988,2000,3.008928571,U,HK,Adult,12,-4.1,Y
13,13,HKSC110607,EPRE,1,2.623,16.1,-14.5,2.7,7.7,2005,2006,2.851851852,U,HK,Juvenile,6,0,Y
14,14,HKSC110607,EPRE,2,1.608,13.6,-14.6,2.6,8.4,2005,2007,3.230769231,U,HK,Juvenile,6,-2.5,Y
15,15,HKSC110607,EPRE,3,1.45,14.1,-14.1,2.8,7.8,2005,2008,2.785714286,U,HK,Juvenile,6,-2,Y
16,16,HKSC110607,EPRE,4,0.895,14,-14.2,3.1,8.6,2005,2009,2.774193548,U,HK,Juvenile,6,-2.1,Y
17,17,HKSC110607,EPRE,5,1.033,14.1,-14.6,3.2,8.8,2005,2010,2.75,U,HK,Juvenile,6,-2,Y
18,18,HKSC110607,EPRE,6,1.435,14.1,-14.6,3.1,8.7,2005,2011,2.806451613,U,HK,Juvenile,6,-2,Y
64,78,HKSC111501,EPRE,0,0.856,17.4,-14.4,2.7,7.1,2007,2007,2.62962963,U,HK,Juvenile,5,0,Y
65,79,HKSC111501,EPRE,1,1.406,16.7,-14.4,2.8,7.8,2007,2008,2.785714286,U,HK,Juvenile,5,-0.7,Y
66,80,HKSC111501,EPRE,2,1.627,15.5,-14.3,2.9,7.8,2007,2009,2.689655172,U,HK,Juvenile,5,-1.9,Y
67,81,HKSC111501,EPRE,3,1.217,15.1,-13.8,2.9,7.8,2007,2010,2.689655172,U,HK,Juvenile,5,-2.3,Y
68,82,HKSC111501,EPRE,4,0.628,14.3,-13.8,3,8.2,2007,2011,2.733333333,U,HK,Juvenile,5,-3.1,Y
19,19,HKSC120309,EPRE,1,3.957,16.7,-14.4,2.2,6.3,1992,1993,2.863636364,U,HK,Juvenile,8,0,Y
20,20,HKSC120309,EPRE,2,3.646,14.3,-14.4,2.3,6.5,1992,1994,2.826086957,U,HK,Juvenile,8,-2.4,Y
21,21,HKSC120309,EPRE,3,3.516,14.2,-14.2,2.4,6.9,1992,1995,2.875,U,HK,Juvenile,8,-2.5,Y
22,22,HKSC120309,EPRE,4,2.751,14,-14.2,2.2,6.3,1992,1996,2.863636364,U,HK,Juvenile,8,-2.7,Y
23,23,HKSC120309,EPRE,5,2.083,14.1,-13.8,2.4,6.8,1992,1997,2.833333333,U,HK,Juvenile,8,-2.6,Y
24,24,HKSC120309,EPRE,6,2.071,13.9,-14.2,2.3,6.6,1992,1998,2.869565217,U,HK,Juvenile,8,-2.8,Y
25,25,HKSC120309,EPRE,7,1.425,13.7,-14,2.3,6.6,1992,1999,2.869565217,U,HK,Juvenile,8,-3,Y
26,26,HKSC120309,EPRE,9,0.796,13.8,-13.8,2.5,7.1,1992,2001,2.84,U,HK,Juvenile,8,-2.9,Y
42,56,HKSC120507,EPRE,1,0.892,16.3,-17.3,2.6,7,2006,2007,2.692307692,U,HK,Juvenile,5,0,Y
43,57,HKSC120507,EPRE,2,1.696,16.1,-17.5,2.3,6.3,2006,2008,2.739130435,U,HK,Juvenile,5,-0.2,Y
44,58,HKSC120507,EPRE,3,1.727,15.5,-17.3,2.4,6.6,2006,2009,2.75,U,HK,Juvenile,5,-0.8,Y
45,59,HKSC120507,EPRE,4,0.88,14.6,-17,1.1,3.1,2006,2010,2.818181818,U,HK,Juvenile,5,-1.7,Y
46,60,HKSC120507,EPRE,5,1.147,15.2,-17.2,2.6,7.2,2006,2011,2.769230769,U,HK,Juvenile,5,-1.1,Y
47,61,HKSC130403,EPRE,1,1.737,15.6,-13.2,2.2,6,1996,1997,2.727272727,U,HK,Juvenile,11,0,Y
48,62,HKSC130403,EPRE,2,2.999,14,-15.9,2.8,7.7,1996,1998,2.75,U,HK,Juvenile,11,-1.6,Y
49,63,HKSC130403,EPRE,5,1.342,13.5,-13.5,2.7,7.4,1996,2001,2.740740741,U,HK,Juvenile,11,-2.1,Y
50,64,HKSC130403,EPRE,6,1.164,13.1,-13.7,2.7,7.6,1996,2002,2.814814815,U,HK,Juvenile,11,-2.5,Y
51,65,HKSC130403,EPRE,7,1.167,13.4,-13.4,2.7,7.6,1996,2003,2.814814815,U,HK,Juvenile,11,-2.2,Y
52,66,HKSC130403,EPRE,8,1.152,13.8,-13.7,2.6,7.3,1996,2004,2.807692308,U,HK,Juvenile,11,-1.8,Y
53,67,HKSC130403,EPRE,9,1.113,13.9,-13.5,2.6,7.3,1996,2005,2.807692308,U,HK,Juvenile,11,-1.7,Y
54,68,HKSC130403,EPRE,10,0.95,13.6,-13.6,2.7,7.5,1996,2006,2.777777778,U,HK,Adult,11,-2,Y
55,69,HKSC130403,EPRE,11,1.025,13.5,-14.2,2.7,7.4,1996,2007,2.740740741,U,HK,Adult,11,-2.1,Y
56,70,HKSC130403,EPRE,12,0.571,13.1,-13.9,2.8,7.7,1996,2008,2.75,U,HK,Adult,11,-2.5,Y
57,71,HKSC130403,EPRE,13,0.687,13.8,-14,2.7,7.4,1996,2009,2.740740741,U,HK,Adult,11,-1.8,Y
69,86,HKSC132405,EPRE,1,1.17,15,-15.8,2.8,7.5,1997,1998,2.678571429,U,HK,Juvenile,13,0,Y
70,87,HKSC132405,EPRE,2,1.903,13.9,-16.1,2.7,7.4,1997,1999,2.740740741,U,HK,Juvenile,13,-1.1,Y
71,88,HKSC132405,EPRE,3,2.036,13.9,-16,2.5,7.1,1997,2000,2.84,U,HK,Juvenile,13,-1.1,Y
72,89,HKSC132405,EPRE,4,2.035,13.7,-16.3,2.4,6.9,1997,2001,2.875,U,HK,Juvenile,13,-1.3,Y
73,90,HKSC132405,EPRE,5,1.851,13.3,-16.4,2.6,7.4,1997,2002,2.846153846,U,HK,Juvenile,13,-1.7,Y
74,91,HKSC132405,EPRE,6,1.321,12.7,-16.8,2.8,7.7,1997,2003,2.75,U,HK,Juvenile,13,-2.3,Y
75,92,HKSC132405,EPRE,7,1.435,12.8,-16.8,2.7,7.6,1997,2004,2.814814815,U,HK,Juvenile,13,-2.2,Y
76,93,HKSC132405,EPRE,8,1.507,13.4,-17.6,2.9,8,1997,2005,2.75862069,U,HK,Juvenile,13,-1.6,Y
77,94,HKSC132405,EPRE,9,0.965,13.3,-16.9,2.9,8.1,1997,2006,2.793103448,U,HK,Juvenile,13,-1.7,Y
78,95,HKSC132405,EPRE,10,1.514,13.7,-16.9,2.7,7.6,1997,2007,2.814814815,U,HK,Adult,13,-1.3,Y
79,96,HKSC132405,EPRE,11,1.821,13.4,-16.9,1.2,3.5,1997,2008,2.916666667,U,HK,Adult,13,-1.6,Y
80,97,HKSC132405,EPRE,12,0.468,12.4,-16.7,2.8,7.9,1997,2009,2.821428571,U,HK,Adult,13,-2.6,Y
81,98,HKSC132405,EPRE,13,0.438,11.7,-17.1,2.9,8.6,1997,2010,2.965517241,U,HK,Adult,13,-3.3,Y
282,496,HKSC140507,EPRE,1,2.585,15.9,-15.1,2.01,5.69,2002,2003,2.830845771,U,HK,Juvenile,12,0,Y
283,497,HKSC140507,EPRE,2,1.439,14.1,-14.5,2.27,6.73,2002,2004,2.964757709,U,HK,Juvenile,12,-1.8,Y
284,498,HKSC140507,EPRE,3,1.382,13.3,-15,2.11,5.99,2002,2005,2.838862559,U,HK,Juvenile,12,-2.6,Y
285,499,HKSC140507,EPRE,4,1.275,13.6,-13.8,2.19,6.69,2002,2006,3.054794521,U,HK,Juvenile,12,-2.3,Y
286,500,HKSC140507,EPRE,5,1.066,13.4,-14.4,2.05,6.25,2002,2007,3.048780488,U,HK,Juvenile,12,-2.5,Y
287,501,HKSC140507,EPRE,6,0.886,12.5,-14.2,1.96,5.7,2002,2008,2.908163265,U,HK,Juvenile,12,-3.4,Y
288,502,HKSC140507,EPRE,7,0.836,13.2,-14.7,2.08,6.4,2002,2009,3.076923077,U,HK,Juvenile,12,-2.7,Y
289,503,HKSC140507,EPRE,8,1.692,13.9,-14.1,2.13,6.37,2002,2010,2.990610329,U,HK,Juvenile,12,-2,Y
290,504,HKSC140507,EPRE,9,1.042,13.5,-13.6,2.14,6.55,2002,2011,3.060747664,U,HK,Juvenile,12,-2.4,Y
291,505,HKSC140507,EPRE,10,0.96,13.6,-13.5,2.25,6.86,2002,2012,3.048888889,U,HK,Adult,12,-2.3,Y
292,506,HKSC140507,EPRE,11,0.948,12.9,-13.9,2.25,6.79,2002,2013,3.017777778,U,HK,Adult,12,-3,Y
293,507,HKSC140507,EPRE,12,0.8,12.7,-13.8,2.42,7.31,2002,2014,3.020661157,U,HK,Adult,12,-3.2,Y
268,482,HKSC142401,EPRE,1,1.067,15,-13.8,2.08,6.18,1997,1998,2.971153846,U,HK,Juvenile,14,0,Y
269,483,HKSC142401,EPRE,2,0.894,13.8,-14.1,2.05,6.3,1997,1999,3.073170732,U,HK,Juvenile,14,-1.2,Y
270,484,HKSC142401,EPRE,3,0.396,12.7,-15.3,2.05,6.63,1997,2000,3.234146341,U,HK,Juvenile,14,-2.3,Y
271,485,HKSC142401,EPRE,4,0.448,12.9,-14.2,2.15,6.62,1997,2001,3.079069767,U,HK,Juvenile,14,-2.1,Y
272,486,HKSC142401,EPRE,5,1.099,13.5,-13.5,2.09,5.98,1997,2002,2.861244019,U,HK,Juvenile,14,-1.5,Y
273,487,HKSC142401,EPRE,6,0.597,13,-12.7,2.08,6.31,1997,2003,3.033653846,U,HK,Juvenile,14,-2,Y
274,488,HKSC142401,EPRE,7,1.213,13.9,-12,2.18,6.55,1997,2004,3.004587156,U,HK,Juvenile,14,-1.1,Y
275,489,HKSC142401,EPRE,8,0.682,13.2,-14,2.19,6.48,1997,2005,2.95890411,U,HK,Juvenile,14,-1.8,Y
276,490,HKSC142401,EPRE,9,0.631,13.7,-13.5,2.28,7.11,1997,2006,3.118421053,U,HK,Juvenile,14,-1.3,Y
