,Pkey,SC_ID,Region,GLG,Weight,d15N,d13C,N_per,C_per,YOB,CalenderYear,CNRatio,CNR,Site,AgeClass,sample_per_ID,Net_d15N,Weaning
165,324,JMSC150121,WPRE,8,0.624,14,-13.6,2.3,6.6,2004,2012,2.869565217,U,WPRE,Juvenile,10,-1.7,Y
166,325,JMSC150121,WPRE,9,0.213,11,-14,3.5,9.3,2004,2013,2.657142857,U,WPRE,Juvenile,10,-4.7,Y
167,326,JMSC150121,WPRE,10,0.218,10.5,-14.2,3.3,8.6,2004,2014,2.606060606,U,WPRE,Adult,10,-5.2,Y
176,335,JMSC170201,WPRE,1,1.102,16.6,-14.4,2.2,6.1,2009,2010,2.772727273,U,WPRE,Juvenile,7,0,Y
177,336,JMSC170201,WPRE,2,0.873,15.1,-14.3,2.6,7.4,2009,2011,2.846153846,U,WPRE,Juvenile,7,-1.5,Y
194,353,JMSC170201,WPRE,3,0.721,13.7,-14.4,2.3,6.4,2009,2012,2.782608696,U,WPRE,Juvenile,7,-2.9,Y
195,354,JMSC170201,WPRE,4,0.592,12.9,-15.3,2.4,7,2009,2013,2.916666667,U,WPRE,Juvenile,7,-3.7,Y
196,355,JMSC170201,WPRE,5,0.504,12.5,-15,2.9,8.2,2009,2014,2.827586207,U,WPRE,Juvenile,7,-4.1,Y
197,356,JMSC170201,WPRE,6,0.546,11.8,-14.4,2.8,7.7,2009,2015,2.75,U,WPRE,Juvenile,7,-4.8,Y
198,357,JMSC170201,WPRE,7,0.56,13.8,-14.9,3.3,9.6,2009,2016,2.909090909,U,WPRE,Juvenile,7,-2.8,Y
123,281,JMSC170219,WPRE,1,2.362,17,-14.7,2.1,5.9,2005,2006,2.80952381,U,WPRE,Juvenile,10,0,Y
124,282,JMSC170219,WPRE,2,1.911,16.1,-15,2.1,5.9,2005,2007,2.80952381,U,WPRE,Juvenile,10,-0.9,Y
125,283,JMSC170219,WPRE,3,1.822,15.6,-14.9,2.2,6.3,2005,2008,2.863636364,U,WPRE,Juvenile,10,-1.4,Y
126,284,JMSC170219,WPRE,4,1.537,14.8,-14.9,2.3,6.5,2005,2009,2.826086957,U,WPRE,Juvenile,10,-2.2,Y
127,285,JMSC170219,WPRE,5,1.355,14.1,-15,2.3,6.5,2005,2010,2.826086957,U,WPRE,Juvenile,10,-2.9,Y
128,286,JMSC170219,WPRE,6,0.675,13.9,-14.5,3,8.5,2005,2011,2.833333333,U,WPRE,Juvenile,10,-3.1,Y
129,287,JMSC170219,WPRE,7,0.876,13.6,-14.5,2.9,8.1,2005,2012,2.793103448,U,WPRE,Juvenile,10,-3.4,Y
130,288,JMSC170219,WPRE,9,0.668,13.1,-14.8,2.8,7.9,2005,2014,2.821428571,U,WPRE,Juvenile,10,-3.9,Y
131,289,JMSC170219,WPRE,10,0.612,13.3,-14.8,2.8,7.7,2005,2015,2.75,U,WPRE,Adult,10,-3.7,Y
132,290,JMSC170219,WPRE,11,0.735,11.9,-14.5,3.2,8.2,2005,2016,2.5625,U,WPRE,Adult,10,-5.1,Y
178,337,MASC160323,MPRE,1,1.1,14.8,-15.1,2.3,6.6,2008,2009,2.869565217,U,MPRE,Juvenile,9,0,Y
179,338,MASC160323,MPRE,2,0.861,14.2,-15.1,2.5,7.2,2008,2010,2.88,U,MPRE,Juvenile,9,-0.6,Y
180,339,MASC160323,MPRE,3,1.012,13.7,-15.3,2.5,7.1,2008,2011,2.84,U,MPRE,Juvenile,9,-1.1,Y
181,340,MASC160323,MPRE,4,0.937,13.8,-15.3,2.4,7.1,2008,2012,2.958333333,U,MPRE,Juvenile,9,-1,Y
182,341,MASC160323,MPRE,5,1.042,13.6,-14.9,2.4,6.8,2008,2013,2.833333333,U,MPRE,Juvenile,9,-1.2,Y
183,342,MASC160323,MPRE,6,1.37,14.1,-15.3,2.5,7.4,2008,2014,2.96,U,MPRE,Juvenile,9,-0.7,Y
184,343,MASC160323,MPRE,7,0.658,14,-14.9,2.8,8.3,2008,2015,2.964285714,U,MPRE,Juvenile,9,-0.8,Y
185,344,MASC160323,MPRE,8,0.745,13.1,-14.6,2.7,7.7,2008,2016,2.851851852,U,MPRE,Juvenile,9,-1.7,Y
186,345,MASC160323,MPRE,9,0.461,12.2,-15.2,3.1,9,2008,2017,2.903225806,U,MPRE,Juvenile,9,-2.6,Y
168,327,MASC170718,MPRE,1,1.151,15.6,-15.7,2.5,6.6,2008,2009,2.64,U,MPRE,Juvenile,8,0,Y
169,328,MASC170718,MPRE,2,1.212,14.6,-15.6,0.8,2.3,2008,2010,2.875,U,MPRE,Juvenile,8,-1,Y
170,329,MASC170718,MPRE,3,1.042,14.4,-16.5,2.6,7.2,2008,2011,2.769230769,U,MPRE,Juvenile,8,-1.2,Y
171,330,MASC170718,MPRE,4,1.123,14.6,-17.5,2.5,7.2,2008,2012,2.88,U,MPRE,Juvenile,8,-1,Y
172,331,MASC170718,MPRE,5,1.201,14.4,-17.5,2.5,7.4,2008,2013,2.96,U,MPRE,Juvenile,8,-1.2,Y
173,332,MASC170718,MPRE,6,1.403,14.6,-16.7,1.9,5.6,2008,2014,2.947368421,U,MPRE,Juvenile,8,-1,Y
174,333,MASC170718,MPRE,7,1.068,12.4,-16.5,2.8,8.2,2008,2015,2.928571429,U,MPRE,Juvenile,8,-3.2,Y
175,334,MASC170718,MPRE,8,1.004,11.7,-16.8,2.6,7.6,2008,2016,2.923076923,U,MPRE,Juvenile,8,-3.9,Y
489,776,ZHSC150921,EPRE,1,1.377,15.3,-14.2,2.35,6.83,1995,1996,2.906382979,U,EPRE,Juvenile,13,0,Y
490,777,ZHSC150921,EPRE,2,1.105,13.7,-14.5,2.35,6.79,1995,1997,2.889361702,U,EPRE,Juvenile,13,-1.6,Y
491,778,ZHSC150921,EPRE,3,1.019,13.3,-14.5,2.37,6.86,1995,1998,2.894514768,U,EPRE,Juvenile,13,-2,Y
492,779,ZHSC150921,EPRE,4,0.817,12.6,-14.7,2.33,6.83,1995,1999,2.931330472,U,EPRE,Juvenile,13,-2.7,Y
493,780,ZHSC150921,EPRE,5,0.85,12.7,-14.3,2.29,6.69,1995,2000,2.92139738,U,EPRE,Juvenile,13,-2.6,Y
494,781,ZHSC150921,EPRE,6,0.811,13,-14.7,2.21,6.59,1995,2001,2.981900452,U,EPRE,Juvenile,13,-2.3,Y
495,782,ZHSC150921,EPRE,7,0.811,12.9,-14.7,2.1,6.23,1995,2002,2.966666667,U,EPRE,Juvenile,13,-2.4,Y
496,783,ZHSC150921,EPRE,8,0.514,12.4,-15.1,2.29,6.95,1995,2003,3.034934498,U,EPRE,Juvenile,13,-2.9,Y
497,784,ZHSC150921,EPRE,9,0.729,13,-15.1,2.26,6.83,1995,2004,3.022123894,U,EPRE,Juvenile,13,-2.3,Y
498,785,ZHSC150921,EPRE,10,0.798,12.4,-14.4,2.28,6.82,1995,2005,2.99122807,U,EPRE,Adult,13,-2.9,Y
499,786,ZHSC150921,EPRE,11,0.763,12.6,-14.3,2.16,6.28,1995,2006,2.907407407,U,EPRE,Adult,13,-2.7,Y
500,787,ZHSC150921,EPRE,12,0.704,12.9,-14.8,2.32,7.03,1995,2007,3.030172414,U,EPRE,Adult,13,-2.4,Y
501,788,ZHSC150921,EPRE,13,0.67,12.4,-14.7,2.32,7,1995,2008,3.017241379,U,EPRE,Adult,13,-2.9,Y
326,554,ZHSC160302,MPRE,0,0.753,14.9,-15.4,2.36,6.45,2008,2008,2.733050847,U,MPRE,Juvenile,6,0,Y
327,555,ZHSC160302,MPRE,1,0.97,14.9,-17.8,2.27,5.9,2008,2009,2.599118943,U,MPRE,Juvenile,6,0,Y
328,556,ZHSC160302,MPRE,2,0.68,12.2,-15.2,2.16,5.94,2008,2010,2.75,U,MPRE,Juvenile,6,-2.7,Y
329,557,ZHSC160302,MPRE,3,0.808,13.8,-15.2,2.27,6.7,2008,2011,2.95154185,U,MPRE,Juvenile,6,-1.1,Y
330,558,ZHSC160302,MPRE,4,0.705,13.3,-15,2.3,6.61,2008,2012,2.873913043,U,MPRE,Juvenile,6,-1.6,Y
331,559,ZHSC160302,MPRE,5,0.676,13.1,-15,2.35,6.78,2008,2013,2.885106383,U,MPRE,Juvenile,6,-1.8,Y
442,729,ZHSC160321,EPRE,0,1.691,14.5,-14.4,1.99,5.42,2005,2005,2.72361809,U,EPRE,Juvenile,11,0,Y
443,730,ZHSC160321,EPRE,1,1.2,13.5,-15.1,2.05,5.8,2005,2006,2.829268293,U,EPRE,Juvenile,11,-1,Y
444,731,ZHSC160321,EPRE,2,1.261,13.6,-15.4,2.24,6.32,2005,2007,2.821428571,U,EPRE,Juvenile,11,-0.9,Y
445,732,ZHSC160321,EPRE,3,1.31,13.4,-15.5,2.25,6.39,2005,2008,2.84,U,EPRE,Juvenile,11,-1.1,Y
446,733,ZHSC160321,EPRE,4,1.248,13,-15.4,2.42,6.91,2005,2009,2.855371901,U,EPRE,Juvenile,11,-1.5,Y
447,734,ZHSC160321,EPRE,5,1.237,12.5,-15.2,2.42,6.92,2005,2010,2.859504132,U,EPRE,Juvenile,11,-2,Y
448,735,ZHSC160321,EPRE,6,1.134,12.3,-15.1,2.45,7.01,2005,2011,2.86122449,U,EPRE,Juvenile,11,-2.2,Y
449,736,ZHSC160321,EPRE,7,1.25,12.1,-15.1,2.4,6.87,2005,2012,2.8625,U,EPRE,Juvenile,11,-2.4,Y
450,737,ZHSC160321,EPRE,8,0.859,12,-15.4,2.53,7.27,2005,2013,2.873517787,U,EPRE,Juvenile,11,-2.5,Y
451,738,ZHSC160321,EPRE,9,1.223,12.6,-15.5,2.36,6.88,2005,2014,2.915254237,U,EPRE,Juvenile,11,-1.9,Y
452,739,ZHSC160321,EPRE,10,0.936,13.2,-15.6,2.42,6.97,2005,2015,2.880165289,U,EPRE,Adult,11,-1.3,Y
420,695,ZHSC160410,EPRE,1,1.056,15.9,-13.7,2.48,6.98,2004,2005,2.814516129,U,EPRE,Juvenile,12,0,Y
421,696,ZHSC160410,EPRE,2,1.02,14.7,-13.9,2.45,7.06,2004,2006,2.881632653,U,EPRE,Juvenile,12,-1.2,Y
422,697,ZHSC160410,EPRE,3,2.045,13.9,-14.1,2.29,6.53,2004,2007,2.851528384,U,EPRE,Juvenile,12,-2,Y
423,698,ZHSC160410,EPRE,4,1.184,13.1,-14.1,2.21,6.35,2004,2008,2.873303167,U,EPRE,Juvenile,12,-2.8,Y
424,699,ZHSC160410,EPRE,5,0.993,13.2,-14.1,2.15,6.22,2004,2009,2.893023256,U,EPRE,Juvenile,12,-2.7,Y
425,700,ZHSC160410,EPRE,6,0.723,13.1,-14.1,2.38,6.91,2004,2010,2.903361345,U,EPRE,Juvenile,12,-2.8,Y
426,701,ZHSC160410,EPRE,7,0.634,12.3,-14,2.42,7,2004,2011,2.892561983,U,EPRE,Juvenile,12,-3.6,Y
427,702,ZHSC160410,EPRE,8,0.841,12.5,-14,2.43,7.06,2004,2012,2.905349794,U,EPRE,Juvenile,12,-3.4,Y
428,703,ZHSC160410,EPRE,9,0.759,12.5,-13.7,2.42,6.92,2004,2013,2.859504132,U,EPRE,Juvenile,12,-3.4,Y
429,704,ZHSC160410,EPRE,10,0.605,11.5,-13.6,2.6,7.38,2004,2014,2.838461538,U,EPRE,Adult,12,-4.4,Y
430,705,ZHSC160410,EPRE,11,0.35,10.2,-13.6,2.67,7.44,2004,2015,2.786516854,U,EPRE,Adult,12,-5.7,Y
431,706,ZHSC160410,EPRE,12,0.409,11.2,-13.6,2.67,7.52,2004,2016,2.816479401,U,EPRE,Adult,12,-4.7,Y
432,707,ZHSC160506,EPRE,1,1.262,15.6,-14.4,2.13,6.06,2005,2006,2.845070423,U,EPRE,Juvenile,10,0,Y
433,708,ZHSC160506,EPRE,2,1.605,13.7,-14.8,2.16,6.31,2005,2007,2.921296296,U,EPRE,Juvenile,10,-1.9,Y
434,709,ZHSC160506,EPRE,3,1.473,13,-15.3,1.99,5.88,2005,2008,2.954773869,U,EPRE,Juvenile,10,-2.6,Y
435,710,ZHSC160506,EPRE,4,1.649,12.6,-15.4,2.07,6.22,2005,2009,3.004830918,U,EPRE,Juvenile,10,-3,Y
436,711,ZHSC160506,EPRE,5,1.457,12.5,-15.4,2.18,6.62,2005,2010,3.036697248,U,EPRE,Juvenile,10,-3.1,Y
437,712,ZHSC160506,EPRE,6,1.483,12.6,-14.9,2.33,6.85,2005,2011,2.939914163,U,EPRE,Juvenile,10,-3,Y
438,713,ZHSC160506,EPRE,7,1.317,12.3,-15,2.23,6.48,2005,2012,2.905829596,U,EPRE,Juvenile,10,-3.3,Y
439,714,ZHSC160506,EPRE,8,0.638,11.5,-15.1,2.56,7.38,2005,2013,2.8828125,U,EPRE,Juvenile,10,-4.1,Y
440,715,ZHSC160506,EPRE,9,1.066,12.3,-15.1,2.48,7.26,2005,2014,2.927419355,U,EPRE,Juvenile,10,-3.3,Y
441,716,ZHSC160506,EPRE,10,1.075,12.1,-15,2.65,7.6,2005,2015,2.867924528,U,EPRE,Adult,10,-3.5,Y
371,599,ZHSC161213,MPRE,1,3.758,18.3,-14.9,1.99,5.84,1997,1998,2.934673367,U,MPRE,Juvenile,12,0,Y
372,600,ZHSC161213,MPRE,2,2.737,15.7,-16,2.24,6.77,1997,1999,3.022321429,U,MPRE,Juvenile,12,-2.6,Y
373,601,ZHSC161213,MPRE,3,2.737,15.1,-15.5,2.68,7.91,1997,2000,2.951492537,U,MPRE,Juvenile,12,-3.2,Y
374,602,ZHSC161213,MPRE,4,1.872,14.6,-15.6,2.63,7.69,1997,2001,2.923954373,U,MPRE,Juvenile,12,-3.7,Y
375,603,ZHSC161213,MPRE,5,2.267,14.5,-15.3,2.6,7.76,1997,2002,2.984615385,U,MPRE,Juvenile,12,-3.8,Y
376,604,ZHSC161213,MPRE,6,1.94,14.1,-15.5,2.39,7.19,1997,2003,3.008368201,U,MPRE,Juvenile,12,-4.2,Y
377,605,ZHSC161213,MPRE,7,1.941,14.1,-16,2.68,8.15,1997,2004,3.041044776,U,MPRE,Juvenile,12,-4.2,Y
378,606,ZHSC161213,MPRE,8,0.765,13.5,-16.4,2.9,8.7,1997,2005,3,U,MPRE,Juvenile,12,-4.8,Y
379,607,ZHSC161213,MPRE,9,1.433,14.1,-16.5,2.72,8.3,1997,2006,3.051470588,U,MPRE,Juvenile,12,-4.2,Y
380,608,ZHSC161213,MPRE,10,1.262,14.6,-16.6,2.68,8.05,1997,2007,3.003731343,U,MPRE,Adult,12,-3.7,Y
381,609,ZHSC161213,MPRE,11,1.215,14.4,-17,2.72,8.23,1997,2008,3.025735294,U,MPRE,Adult,12,-3.9,Y
382,610,ZHSC161213,MPRE,12,1.217,14.2,-16.8,2.84,8.58,1997,2009,3.021126761,U,MPRE,Adult,12,-4.1,Y
203,362,ZHSC161214,MPRE,0,1.498,16.6,-16,2.4,7,2009,2009,2.916666667,U,MPRE,Juvenile,6,0,Y
204,363,ZHSC161214,MPRE,1,1.418,14.4,-17.2,2.2,6.7,2009,2010,3.045454545,U,MPRE,Juvenile,6,-2.2,Y
205,364,ZHSC161214,MPRE,2,1.285,14.5,-17.7,2.5,7.8,2009,2011,3.12,U,MPRE,Juvenile,6,-2.1,Y
206,365,ZHSC161214,MPRE,4,1.085,13.5,-18,2.3,7.1,2009,2013,3.086956522,U,MPRE,Juvenile,6,-3.1,Y
207,366,ZHSC161214,MPRE,5,1.654,13.5,-17.8,2.4,7.4,2009,2014,3.083333333,U,MPRE,Juvenile,6,-3.1,Y
208,367,ZHSC161214,MPRE,6,1.627,12.5,-18,2.1,6.2,2009,2015,2.952380952,U,MPRE,Juvenile,6,-4.1,Y
383,611,ZHSC170410,MPRE,0,0.622,16.7,-13.9,3.08,8.84,1991,1991,2.87012987,U,MPRE,Juvenile,16,0,Y
384,612,ZHSC170410,MPRE,1,1.154,15.1,-14.5,2.31,6.71,1991,1992,2.904761905,U,MPRE,Juvenile,16,-1.6,Y
385,613,ZHSC170410,MPRE,2,0.986,14,-14.5,2.32,6.78,1991,1993,2.922413793,U,MPRE,Juvenile,16,-2.7,Y
386,614,ZHSC170410,MPRE,3,1.206,13.6,-14.6,2.29,6.8,1991,1994,2.969432314,U,MPRE,Juvenile,16,-3.1,Y
387,615,ZHSC170410,MPRE,4,1.25,13.2,-14.5,2.26,6.8,1991,1995,3.008849558,U,MPRE,Juvenile,16,-3.5,Y
388,616,ZHSC170410,MPRE,5,1.278,12.9,-14.7,2.26,6.73,1991,1996,2.977876106,U,MPRE,Juvenile,16,-3.8,Y
389,617,ZHSC170410,MPRE,6,1.103,12.7,-14.5,2.29,6.89,1991,1997,3.008733624,U,MPRE,Juvenile,16,-4,Y
390,618,ZHSC170410,MPRE,7,1.103,13.2,-14.8,2,5.98,1991,1998,2.99,U,MPRE,Juvenile,16,-3.5,Y
391,619,ZHSC170410,MPRE,8,0.913,12.8,-15.1,2.36,7.08,1991,1999,3,U,MPRE,Juvenile,16,-3.9,Y
392,620,ZHSC170410,MPRE,9,0.865,12.9,-15.1,2.28,6.79,1991,2000,2.978070175,U,MPRE,Juvenile,16,-3.8,Y
393,621,ZHSC170410,MPRE,10,0.916,13.8,-14.6,2.23,6.63,1991,2001,2.97309417,U,MPRE,Adult,16,-2.9,Y
394,622,ZHSC170410,MPRE,11,0.933,13.9,-14.9,2.32,6.87,1991,2002,2.961206897,U,MPRE,Adult,16,-2.8,Y
395,623,ZHSC170410,MPRE,12,0.819,13.8,-15.4,2.25,6.79,1991,2003,3.017777778,U,MPRE,Adult,16,-2.9,Y
396,624,ZHSC170410,MPRE,13,0.683,13.6,-15.3,2.29,6.86,1991,2004,2.995633188,U,MPRE,Adult,16,-3.1,Y
397,625,ZHSC170410,MPRE,14,0.759,13.6,-15.4,2.36,6.97,1991,2005,2.953389831,U,MPRE,Adult,16,-3.1,Y
398,626,ZHSC170410,MPRE,15,0.67,13.2,-15.5,2.35,7.04,1991,2006,2.995744681,U,MPRE,Adult,16,-3.5,Y
453,740,ZHSC170525,NA,1,1.626,15.3,-14.4,2.11,5.85,1997,1998,2.772511848,U,NA,Juvenile,19,0,Y
454,741,ZHSC170525,NA,2,1.332,14.5,-15.3,2.17,6.18,1997,1999,2.847926267,U,NA,Juvenile,19,-0.8,Y
455,742,ZHSC170525,NA,3,1.279,13.7,-15.3,2.23,6.34,1997,2000,2.843049327,U,NA,Juvenile,19,-1.6,Y
456,743,ZHSC170525,NA,4,1.403,13.6,-14.9,2.13,6.09,1997,2001,2.85915493,U,NA,Juvenile,19,-1.7,Y
457,744,ZHSC170525,NA,5,1.428,13.5,-14.8,2.25,6.46,1997,2002,2.871111111,U,NA,Juvenile,19,-1.8,Y
458,745,ZHSC170525,NA,6,1.413,13.1,-14.7,2.18,6.14,1997,2003,2.816513761,U,NA,Juvenile,19,-2.2,Y
459,746,ZHSC170525,NA,7,1.346,13.7,-15.4,2.27,6.61,1997,2004,2.911894273,U,NA,Juvenile,19,-1.6,Y
460,747,ZHSC170525,NA,8,1.393,13.9,-15.2,2.28,6.71,1997,2005,2.942982456,U,NA,Juvenile,19,-1.4,Y
461,748,ZHSC170525,NA,9,1.019,14.2,-15.1,2.32,6.79,1997,2006,2.926724138,U,NA,Juvenile,19,-1.1,Y
462,749,ZHSC170525,NA,10,1.117,14.7,-15.2,2.26,6.54,1997,2007,2.89380531,U,NA,Adult,19,-0.6,Y
463,750,ZHSC170525,NA,11,1.069,15.2,-15.2,2.23,6.6,1997,2008,2.959641256,U,NA,Adult,19,-0.1,Y
464,751,ZHSC170525,NA,12,1.149,15.5,-14.3,2.17,6.35,1997,2009,2.926267281,U,NA,Adult,19,0.2,Y
465,752,ZHSC170525,NA,13,0.953,15.4,-14.4,2.29,6.81,1997,2010,2.973799127,U,NA,Adult,19,0.1,Y
466,753,ZHSC170525,NA,14,0.913,15.6,-15.4,2.23,6.64,1997,2011,2.977578475,U,NA,Adult,19,0.3,Y
467,754,ZHSC170525,NA,15,0.869,15.5,-14,2.17,6.52,1997,2012,3.004608295,U,NA,Adult,19,0.2,Y
468,755,ZHSC170525,NA,16,0.729,15.6,-13.8,2.21,6.33,1997,2013,2.864253394,U,NA,Adult,19,0.3,Y
469,756,ZHSC170525,NA,17,0.855,15.5,-13.9,2.1,6.06,1997,2014,2.885714286,U,NA,Adult,19,0.2,Y
470,757,ZHSC170525,NA,18,0.646,16,-15.3,2.44,7.06,1997,2015,2.893442623,U,NA,Adult,19,0.7,Y
471,758,ZHSC170525,NA,19,0.608,16.6,-14.7,2.48,7.14,1997,2016,2.879032258,U,NA,Adult,19,1.3,Y
241,426,ZHSC170711,MPRE,1,2.12,17.7,-13.9,1.98,5.67,1993,1994,2.863636364,U,MPRE,Juvenile,14,0,Y
242,427,ZHSC170711,MPRE,2,1.927,15.7,-14.4,2.19,6.3,1993,1995,2.876712329,U,MPRE,Juvenile,14,-2,Y
243,428,ZHSC170711,MPRE,3,2.135,14.7,-14.6,2.24,6.45,1993,1996,2.879464286,U,MPRE,Juvenile,14,-3,Y
244,429,ZHSC170711,MPRE,4,2.485,13.8,-14.2,2.09,6.14,1993,1997,2.937799043,U,MPRE,Juvenile,14,-3.9,Y
245,430,ZHSC170711,MPRE,5,2.27,13.6,-14.1,2.24,6.61,1993,1998,2.950892857,U,MPRE,Juvenile,14,-4.1,Y
246,431,ZHSC170711,MPRE,6,1.818,13,-13.7,2.56,7.59,1993,1999,2.96484375,U,MPRE,Juvenile,14,-4.7,Y
247,432,ZHSC170711,MPRE,7,2.107,13.1,-13.7,2.14,6.4,1993,2000,2.990654206,U,MPRE,Juvenile,14,-4.6,Y
248,433,ZHSC170711,MPRE,8,2.145,13.5,-13.8,2.34,7,1993,2001,2.991452991,U,MPRE,Juvenile,14,-4.2,Y
249,434,ZHSC170711,MPRE,10,2.22,13.6,-14.2,2.25,6.79,1993,2003,3.017777778,U,MPRE,Adult,14,-4.1,Y
250,435,ZHSC170711,MPRE,11,1.323,13.2,-14,2.28,6.81,1993,2004,2.986842105,U,MPRE,Adult,14,-4.5,Y
251,436,ZHSC170711,MPRE,12,1.139,13.4,-13.9,2.42,7.28,1993,2005,3.008264463,U,MPRE,Adult,14,-4.3,Y
252,437,ZHSC170711,MPRE,13,0.747,12.2,-13.9,2.48,7.42,1993,2006,2.991935484,U,MPRE,Adult,14,-5.5,Y
253,438,ZHSC170711,MPRE,14,0.689,12.2,-14.1,2.5,7.5,1993,2007,3,U,MPRE,Adult,14,-5.5,Y
254,439,ZHSC170711,MPRE,15,0.702,12.2,-14.6,2.6,8,1993,2008,3.076923077,U,MPRE,Adult,14,-5.5,Y
222,401,ZHSC170718,MPRE,0,2.665,17.9,-15.2,2.33,6.68,2007,2007,2.86695279,U,MPRE,Juvenile,7,0,Y
223,402,ZHSC170718,MPRE,1,1.872,16.8,-15.5,2.55,7.39,2007,2008,2.898039216,U,MPRE,Juvenile,7,-1.1,Y
224,403,ZHSC170718,MPRE,2,1.586,15.7,-16.1,2.57,7.48,2007,2009,2.910505837,U,MPRE,Juvenile,7,-2.2,Y
225,404,ZHSC170718,MPRE,3,1.414,15,-16.9,2.73,8.02,2007,2010,2.937728938,U,MPRE,Juvenile,7,-2.9,Y
226,405,ZHSC170718,MPRE,5,1.513,13.8,-16.3,2.55,7.36,2007,2012,2.88627451,U,MPRE,Juvenile,7,-4.1,Y
227,406,ZHSC170718,MPRE,6,1.112,13.4,-15.9,2.6,7.76,2007,2013,2.984615385,U,MPRE,Juvenile,7,-4.5,Y
228,407,ZHSC170718,MPRE,7,0.798,12.2,-16.6,2.84,8.4,2007,2014,2.957746479,U,MPRE,Juvenile,7,-5.7,Y
235,414,ZHSC170920,MPRE,0,3.483,19.5,-14.3,2.28,6.52,2009,2009,2.859649123,U,MPRE,Juvenile,6,0,Y
236,415,ZHSC170920,MPRE,1,2.238,17.5,-14.7,2.38,6.94,2009,2010,2.915966387,U,MPRE,Juvenile,6,-2,Y
237,416,ZHSC170920,MPRE,2,2.042,16.5,-14.6,2.46,7.34,2009,2011,2.983739837,U,MPRE,Juvenile,6,-3,Y
238,417,ZHSC170920,MPRE,3,1.746,15.8,-14.5,2.47,7.46,2009,2012,3.020242915,U,MPRE,Juvenile,6,-3.7,Y
239,418,ZHSC170920,MPRE,4,1.469,14.8,-15,2.62,7.98,2009,2013,3.045801527,U,MPRE,Juvenile,6,-4.7,Y
240,419,ZHSC170920,MPRE,5,1.248,14.4,-14.9,2.59,7.96,2009,2014,3.073359073,U,MPRE,Juvenile,6,-5.1,Y
343,571,ZHSC171003,EPRE,1,2.99,16.6,-14.5,2.09,6.17,1998,1999,2.95215311,U,EPRE,Juvenile,13,0,Y
344,572,ZHSC171003,EPRE,2,1.893,15.4,-14.8,2.43,7.25,1998,2000,2.983539095,U,EPRE,Juvenile,13,-1.2,Y
345,573,ZHSC171003,EPRE,3,1.649,14.6,-14.7,2.42,7.22,1998,2001,2.983471074,U,EPRE,Juvenile,13,-2,Y
346,574,ZHSC171003,EPRE,4,1.311,13.7,-14.8,2.49,7.44,1998,2002,2.987951807,U,EPRE,Juvenile,13,-2.9,Y
347,575,ZHSC171003,EPRE,5,1.254,14.1,-14.6,2.32,6.99,1998,2003,3.012931034,U,EPRE,Juvenile,13,-2.5,Y
348,576,ZHSC171003,EPRE,6,1.255,14.1,-14.6,2.4,7.24,1998,2004,3.016666667,U,EPRE,Juvenile,13,-2.5,Y
349,577,ZHSC171003,EPRE,7,1.334,13.9,-15.2,2.35,7.28,1998,2005,3.09787234,U,EPRE,Juvenile,13,-2.7,Y
350,578,ZHSC171003,EPRE,8,1.09,14.1,-14.9,2.41,7.39,1998,2006,3.066390041,U,EPRE,Juvenile,13,-2.5,Y
351,579,ZHSC171003,EPRE,9,1.017,14.1,-14.3,2.36,7,1998,2007,2.966101695,U,EPRE,Juvenile,13,-2.5,Y
352,580,ZHSC171003,EPRE,10,0.945,13.5,-14.3,2.41,7.17,1998,2008,2.975103734,U,EPRE,Adult,13,-3.1,Y
353,581,ZHSC171003,EPRE,11,1.489,13.7,-14,2.37,7.11,1998,2009,3,U,EPRE,Adult,13,-2.9,Y
354,582,ZHSC171003,EPRE,13,1.206,13.6,-14.2,2.45,7.45,1998,2011,3.040816327,U,EPRE,Adult,13,-3,Y
355,583,ZHSC171003,EPRE,15,1.028,12.8,-14.1,2.63,7.78,1998,2013,2.958174905,U,EPRE,Adult,13,-3.8,Y
187,346,ZHSC180117,MPRE,1,2.42,16.8,-14.9,2.2,6.4,2010,2011,2.909090909,U,MPRE,Juvenile,7,0,Y
188,347,ZHSC180117,MPRE,2,2.202,13.9,-16.1,0.9,2.7,2010,2012,3,U,MPRE,Juvenile,7,-2.9,Y
189,348,ZHSC180117,MPRE,3,0.929,13,-16.1,1.4,4.2,2010,2013,3,U,MPRE,Juvenile,7,-3.8,Y
190,349,ZHSC180117,MPRE,4,0.937,13.8,-15.6,2.8,8.2,2010,2014,2.928571429,U,MPRE,Juvenile,7,-3,Y
191,350,ZHSC180117,MPRE,5,1.207,13.3,-15.6,2.7,8,2010,2015,2.962962963,U,MPRE,Juvenile,7,-3.5,Y
192,351,ZHSC180117,MPRE,6,0.925,12.1,-16.4,2.8,8.2,2010,2016,2.928571429,U,MPRE,Juvenile,7,-4.7,Y
193,352,ZHSC180117,MPRE,7,0.858,12.4,-15.9,3,8.6,2010,2017,2.866666667,U,MPRE,Juvenile,7,-4.4,Y
294,508,ZHSC38,MPRE,1,1.243,17,-14.2,2.05,5.97,NA,NA,2.912195122,U,MPRE,Juvenile,13,0,Y
295,509,ZHSC38,MPRE,2,1.289,14.5,-14.8,2.24,6.6,NA,NA,2.946428571,U,MPRE,Juvenile,13,-2.5,Y
