H,HSD,HCV,D,DSD,DCV,A,ASD,ACV,Goal,Result
1.073,0.019,0.0179,8.939,1.173,0.1312,28.881,9.834,0.341,1-0',H
3.681,0.197,0.0535,3.757,0.168,0.0446,1.787,0.06,0.034,3-5',A
1.758,0.076,0.0431,3.946,0.236,0.0598,3.945,0.292,0.074,2-2',D
1.952,0.058,0.0296,3.06,0.109,0.0357,4.094,0.235,0.058,2-1',H
1.583,0.04,0.025,3.54,0.145,0.0408,5.886,0.457,0.078,2-0',H
1.233,0.035,0.0283,5.404,0.405,0.0749,11.802,1.883,0.16,2-0',H
1.883,0.074,0.0393,3.325,0.141,0.0425,4.013,0.369,0.092,2-0',H
1.545,0.038,0.0249,3.802,0.152,0.04,5.665,0.475,0.084,2-0',H
1.237,0.029,0.0234,5.479,0.282,0.0515,9.319,1.324,0.142,2-1',H
2.005,0.089,0.0444,3.312,0.141,0.0427,3.384,0.182,0.054,1-1',D
1.788,0.059,0.033,3.515,0.124,0.0354,4.075,0.35,0.086,1-1',D
2.711,0.108,0.0397,3.282,0.113,0.0343,2.384,0.076,0.032,0-3',A
2.79,0.152,0.0544,3.361,0.121,0.036,2.297,0.112,0.049,2-1',H
4.019,0.273,0.068,3.445,0.164,0.0477,1.806,0.084,0.046,1-1',D
1.77,0.072,0.0405,3.52,0.153,0.0435,4.169,0.367,0.088,2-1',H
1.441,0.043,0.03,4.022,0.184,0.0457,6.634,0.674,0.102,2-1',H
1.89,0.127,0.067,3.394,0.136,0.0401,3.766,0.385,0.102,1-0',H
16.031,4.466,0.2786,7.807,0.8,0.1024,1.118,0.031,0.028,1-4',A
2.452,0.083,0.034,2.991,0.117,0.0392,2.939,0.141,0.048,0-3',A
4.054,0.247,0.061,3.026,0.096,0.0318,1.958,0.046,0.024,1-2',A
1.96,0.046,0.0235,3.025,0.083,0.0273,4.062,0.242,0.06,3-2',H
