Pkey,Date,League,H,D,A,FH,FD,FA,HandH,HandA,Hand_H,Hand_A,HHH,HHD,HHA,HH_H,HH_A,Hilo,Hi,Lo,F_Hilo,F_Hi,F_Lo,H_Mean,H_SD,H_CV,D_Mean,D_SD,D_CV,A_Mean,A_SD,A_CV,Num,H_Prob,D_Prob,A_Prob,F_HG,F_AG,HG,AG,Half_T,Full_T,Half_R,Full_R,Stat
18,20190717,79,1.53,3.8,4.85,2.1,2.25,4.9,NaN,NaN,NaN,NaN,2.57,3.4,2.25,[-1],[+1],2.5/3.0,1.9,1.8,1.5/1.5,2.55,1.45,1.74,0.12,0.07,3.77,0.19,0.05,4.33,0.59,0.14,88,64%,18%,18%,1,0,2,2,1,4,H,D,8.1
19,20190717,79,1.65,3.85,3.9,2.15,2.35,4.2,1.95,1.87,[-0.5/-1.0],[+0.5/+1.0],2.75,3.65,2.05,[-1],[+1],2.5/3.0,1.65,2.1,1.5/1.5,2.25,1.57,1.77,0.1,0.06,3.82,0.18,0.05,4,0.29,0.07,65,62%,23%,15%,2,0,3,1,2,4,H,H,7.82
20,20190717,106,1.14,5.75,14,1.58,2.5,10.5,1.91,1.86,[-1.5/-2.0],[+1.5/+2.0],2.65,3.8,2.05,[-2],[+2],2.5/2.5,1.7,2.02,1.5/1.5,2.55,1.45,1.23,0.02,0.02,5.36,0.35,0.07,11.55,1.74,0.15,4,75%,25%,0%,0,0,2,0,0,2,D,H,16.91
21,20190717,78,1.46,3.75,5.8,2,2.25,5.5,NaN,NaN,NaN,NaN,2.4,3.3,2.45,[-1],[+1],2.5/2.5,1.9,1.8,1.5/1.5,2.8,1.38,1.43,0.03,0.02,3.89,0.16,0.04,7.43,0.81,0.11,4,75%,25%,0%,0,0,1,1,0,2,D,D,11.32
22,20190717,78,2.35,2.8,2.95,3.15,1.8,3.95,2.08,1.72,[+0.0/-0.5],[-0.0/+0.5],5.25,3.7,1.5,[-1],[+1],2.5/2.5,2.65,1.42,1.5/1.5,3.8,1.22,2.32,0.07,0.03,2.82,0.09,0.03,3.27,0.16,0.05,1,0%,0%,100%,1,0,1,0,1,1,H,H,6.1
23,20190718,7,4.9,3.4,1.6,5.1,2.05,2.25,1.88,1.88,[+0.5/+1.0],[-0.5/-1.0],2.15,3.25,2.8,[+1],[-1],2.5/2.5,2,1.72,0.5/1.0,1.57,2.25,3.64,0.5,0.14,3.43,0.13,0.04,1.92,0.13,0.07,41,27%,22%,51%,1,1,1,2,2,3,D,A,7.07
24,20190718,72,1.75,3.75,3.5,2.2,2.4,3.85,NaN,NaN,NaN,NaN,3,3.7,1.9,[-1],[+1],2.5/3.0,1.62,2.15,1.5/1.5,2.15,1.62,1.6,0.05,0.03,4.03,0.18,0.04,4.38,0.24,0.06,5,60%,20%,20%,0,1,2,1,1,3,A,H,8.4
25,20190718,7,1.18,5.25,11.5,1.65,2.4,9.5,NaN,NaN,NaN,NaN,1.68,3.6,3.9,[-1],[+1],2.5/2.5,1.72,2,1.5/1.5,2.55,1.45,1.2,0.04,0.03,6.05,0.49,0.08,10.38,1.41,0.14,3,67%,33%,0%,1,0,2,1,1,3,H,H,16.43
26,20190718,7,1.12,6.1,15,1.51,2.65,11.5,NaN,NaN,NaN,NaN,2.52,3.9,2.1,[-2],[+2],2.5/2.5,1.59,2.2,1.5/1.5,2.35,1.52,1.1,0.05,0.04,8.67,1.42,0.16,15.42,3.34,0.22,0,0%,0%,0%,0,0,0,2,0,2,D,A,24.09
27,20190718,7,2.6,3.1,2.4,3.25,2.01,3.1,1.96,1.81,[+0.0/+0.0],[-0.0/-0.0],1.48,3.95,5,[+1],[-1],2.5/2.5,2.02,1.7,1.5/1.5,3,1.33,2.62,0.1,0.04,3.16,0.11,0.03,2.52,0.1,0.04,47,17%,34%,49%,0,0,2,1,0,3,D,H,5.77
28,20190718,93,2.8,3.2,2.2,3.45,2.05,2.85,NaN,NaN,NaN,NaN,1.56,3.85,4.4,[+1],[-1],2.5/2.5,1.9,1.8,1.5/1.5,2.8,1.38,2.98,0.12,0.04,3.33,0.08,0.02,2.14,0.04,0.02,4,25%,0%,75%,2,1,2,4,3,6,H,A,6.31
29,20190718,79,2.2,3.35,2.7,2.82,2.1,3.35,1.72,2.07,[+0.0/+0.0],[-0.0/-0.0],4.15,3.95,1.58,[-1],[+1],2.5/2.5,1.72,2,0.5/1.0,1.45,2.55,2.56,0.09,0.03,3.37,0.12,0.04,2.55,0.08,0.03,59,39%,29%,32%,0,1,1,4,1,5,A,A,5.92
30,20190718,106,2.17,2.82,3.25,3,1.78,4.3,1.92,1.85,[+0.0/-0.5],[-0.0/+0.5],4.75,3.4,1.6,[-1],[+1],2.0/2.5,2.35,1.52,1.5/1.5,3.9,1.21,2.39,0.09,0.04,2.82,0.08,0.03,3.18,0.16,0.05,11,27%,46%,27%,0,0,0,1,0,1,D,A,6
