League,H,D,A,FH,FD,FA,HandH,HandA,HHH,HHD,HHA,Hi,Lo,F_Hi_Odds,F_Lo_Odds,H_All,H_SD,H_CV,D_All,D_SD,D_CV,A_All,A_SD,A_CV,Num,H_per,D_per,A_per,Stat,F_HG,F_AG,HG,AG,Half_T,Full_T,Half_R,Full_R,F_Hilo,H_Hilo
124,1.34,4.25,7,1.82,2.35,6.5,NaN,NaN,2.07,3.4,2.85,1.7,2.02,2.45,1.48,1.43,0.03,0.02,4.14,0.23,0.06,6.75,0.56,0.08,17, 0.82 , 0.12 , 0.06 ,10.9,3,0,4,2,3,6,H,H,B,B
87,1.66,3.65,4.05,2.25,2.15,4.6,2.03,1.81,2.85,3.45,2.05,3.1,1.31,2.3,1.54,2.26,0.07,0.03,3.17,0.07,0.02,2.87,0.07,0.03,130, 0.37 , 0.25 , 0.38 ,6,2,0,3,1,2,4,H,H,B,B
87,3.05,3.15,2.1,3.9,1.92,2.85,1.88,1.96,1.63,3.55,4.3,2.25,1.57,3.6,1.24,2.83,0.18,0.06,3.06,0.1,0.03,2.44,0.2,0.08,183, 0.24 , 0.34 , 0.42 ,5.9,0,2,0,3,2,3,A,A,B,B
87,2.35,3,2.75,3.25,1.83,3.65,1.76,2.1,5.2,3.7,1.5,2.5,1.46,4,1.2,2.29,0.08,0.04,2.96,0.08,0.03,3.17,0.14,0.05,141, 0.43 , 0.27 , 0.30 ,6.1,0,0,1,0,0,1,D,H,S,S
88,2.77,2.97,2.35,3.65,1.9,3.05,NaN,NaN,1.5,3.8,5.05,2.19,1.6,3.4,1.27,2.75,0.07,0.02,3.1,0.1,0.03,2.48,0.06,0.03,38, 0.26 , 0.42 , 0.32 ,5.8,1,0,2,0,1,2,H,H,S,S
88,1.72,3.15,4.4,2.35,2,4.9,NaN,NaN,3.2,3.25,1.97,2.15,1.62,3.3,1.28,1.81,0.05,0.03,3.34,0.12,0.04,4.21,0.27,0.07,29, 0.59 , 0.21 , 0.21 ,7.6,0,1,1,2,1,3,A,A,B,S
88,1.8,3.45,3.6,2.4,2.22,3.85,NaN,NaN,3.15,3.7,1.85,1.62,2.15,2.55,1.45,1.79,0.05,0.03,3.59,0.13,0.04,3.95,0.28,0.07,15, 0.40 , 0.40 , 0.20 ,7.5,0,1,2,1,1,3,A,H,B,S
144,1.95,3.45,3.1,2.5,2.25,3.5,1.8,1.97,3.65,3.7,1.71,1.85,1.85,3.02,1.33,2.08,0.05,0.03,3.41,0.1,0.03,3.25,0.15,0.05,11, 0.46 , 0.27 , 0.27 ,6.7,0,1,2,3,1,5,A,A,B,S
58,1.39,3.8,7.1,1.93,2.17,6.7,1.87,1.97,2.33,3.15,2.62,3.6,1.24,2.82,1.37,1.51,0.07,0.05,3.92,0.32,0.08,6.02,0.46,0.08,16, 0.75 , 0.19 , 0.06 ,9.9,1,0,1,0,1,1,H,H,S,S
58,1.21,5,10.5,1.65,2.52,8,NaN,NaN,1.75,3.6,3.6,1.77,1.93,2.3,1.54,1.28,0.06,0.05,5.21,0.54,0.1,8.99,1.28,0.14,16, 0.69 , 0.06 , 0.25 ,14.2,1,1,1,1,2,2,D,D,S,B
122,1.23,4.65,10.5,1.72,2.3,9,NaN,NaN,1.85,3.4,3.4,1.85,1.85,2.7,1.4,1.29,0.04,0.03,4.77,0.35,0.07,10.38,1.45,0.14,10, 0.70 , 0.20 , 0.10 ,15.2,2,1,2,1,3,3,H,H,B,B
56,3.05,3,2.17,4.1,1.9,2.8,1.85,1.99,1.58,3.65,4.5,2.25,1.57,3.3,1.28,2.81,0.21,0.08,2.99,0.1,0.03,2.59,0.2,0.08,51, 0.29 , 0.37 , 0.33 ,5.8,0,0,0,1,0,1,D,A,S,S
36,1.97,3.35,3.15,2.55,2.15,3.7,NaN,NaN,3.7,3.65,1.71,1.75,1.95,2.55,1.45,1.96,0.1,0.05,3.47,0.11,0.03,3.4,0.24,0.07,1, -   , 1.00 , -   ,6.9,1,2,1,2,3,3,A,A,B,B
58,1.48,3.75,5.5,2,2.25,5.5,1.77,2.09,2.48,3.3,2.38,1.77,1.93,2.55,1.45,1.7,0.07,0.04,3.65,0.17,0.05,4.58,0.34,0.07,62, 0.50 , 0.26 , 0.24 ,8.2,2,0,3,0,2,3,H,H,B,B
122,1.73,3,4.7,2.5,1.85,5.3,2.14,1.73,3.35,3.15,1.95,2.25,1.57,3.7,1.23,1.75,0.07,0.04,3.26,0.16,0.05,4.86,0.31,0.06,28, 0.64 , 0.21 , 0.14 ,8.1,0,0,-,,0,0,D,H,S,S
59,1.34,4.15,7.3,1.82,2.3,7,2.04,1.81,2.15,3.25,2.8,1.8,1.9,2.6,1.43,1.47,0.07,0.05,4.16,0.23,0.05,6.38,0.89,0.14,31, 0.71 , 0.23 , 0.07 ,10.5,0,0,2,1,0,3,D,H,B,S
124,1.46,3.85,5.6,2,2.25,5.4,1.73,2.14,2.42,3.3,2.42,1.8,1.9,2.6,1.43,1.57,0.04,0.03,3.76,0.17,0.04,5.29,0.35,0.07,42, 0.57 , 0.21 , 0.21 ,9.1,0,0,0,2,0,2,D,A,S,S
59,1.44,4.05,5.5,1.9,2.42,5.3,1.92,1.92,2.32,3.45,2.45,1.75,1.95,2.29,1.55,1.47,0.06,0.04,4.23,0.22,0.05,6.12,0.58,0.09,37, 0.70 , 0.22 , 0.08 ,10.3,1,0,2,1,1,3,H,H,B,S
122,5.25,3.55,1.54,5.5,2.1,2.13,NaN,NaN,2.22,3.35,2.65,1.93,1.77,2.82,1.37,6.25,0.74,0.12,3.94,0.24,0.06,1.5,0.05,0.04,5, -   , 0.40 , 0.60 ,10.2,0,1,0,2,1,2,A,A,S,S
56,1.42,3.75,6.5,1.98,2.1,6.75,NaN,NaN,2.42,3.15,2.52,2.02,1.7,2.92,1.35,1.62,0.07,0.04,3.68,0.22,0.06,5.27,0.35,0.07,63, 0.60 , 0.29 , 0.11 ,9,2,0,2,2,2,4,H,D,B,B
56,2.63,2.75,2.63,3.55,1.77,3.55,NaN,NaN,6.4,3.8,1.41,2.7,1.4,3.8,1.22,2.71,0.13,0.05,2.92,0.1,0.04,2.72,0.13,0.05,28, 0.46 , 0.36 , 0.18 ,5.6,0,0,1,1,0,2,D,D,S,S
79,1.38,4.3,6,1.85,2.45,5.55,1.8,2.03,2.15,3.55,2.62,1.63,2.13,2.22,1.58,1.56,0.05,0.03,4.17,0.2,0.05,5.12,0.42,0.08,39, 0.59 , 0.28 , 0.13 ,9.3,0,0,2,0,0,2,D,H,S,S
56,1.85,3.1,3.85,2.5,1.95,4.7,NaN,NaN,3.65,3.35,1.8,2.3,1.54,3.4,1.27,2.17,0.13,0.06,3.07,0.1,0.03,3.44,0.27,0.08,94, 0.52 , 0.30 , 0.18 ,6.5,0,0,0,0,0,0,D,D,S,S
79,2.9,3.55,2.02,3.35,2.25,2.6,NaN,NaN,1.68,3.85,3.7,1.73,1.98,2.35,1.52,2.54,0.26,0.1,3.54,0.19,0.05,2.52,0.26,0.1,30, 0.40 , 0.27 , 0.33 ,6.1,0,1,0,2,1,2,A,A,S,S
93,2.25,3.1,2.8,2.9,2,3.5,NaN,NaN,4.65,3.75,1.54,2,1.72,2.97,1.34,2.14,0.07,0.03,3.15,0.15,0.05,3.06,0.18,0.06,8, 0.63 , 0.13 , 0.25 ,6.2,1,1,1,2,2,3,D,A,B,B
72,1.75,3.9,3.35,2.15,2.45,3.85,1.62,2.24,3,3.65,1.9,1.88,1.82,2.05,1.68,1.87,0.08,0.05,3.75,0.17,0.04,3.38,0.25,0.07,4, -   , 0.75 , 0.25 ,7.1,1,1,1,2,2,3,D,A,B,B
79,2.1,3.45,2.8,2.7,2.17,3.35,1.95,1.89,3.9,3.85,1.63,1.78,1.92,3,1.33,2.12,0.1,0.05,3.61,0.16,0.04,3.04,0.14,0.05,52, 0.46 , 0.25 , 0.29 ,6.7,0,1,0,1,1,1,A,A,S,S
124,1.86,3.2,3.65,2.45,2.05,4.3,1.74,2.13,3.6,3.4,1.8,2.02,1.7,2.92,1.35,2.1,0.09,0.04,3.18,0.13,0.04,3.33,0.2,0.06,178, 0.51 , 0.23 , 0.26 ,6.5,1,0,3,0,1,3,H,H,B,S
93,2.75,3.3,2.18,3.4,2.1,2.8,NaN,NaN,1.57,3.9,4.2,1.73,1.98,2.55,1.45,2.36,0.06,0.02,3.28,0.1,0.03,2.61,0.04,0.02,3, -   , 1.00 , -   ,5.9,1,1,1,2,2,3,D,A,B,B
79,1.82,3.6,3.4,2.35,2.3,3.75,1.71,2.18,3.15,3.7,1.85,2.5,1.46,2.92,1.35,1.9,0.07,0.04,3.68,0.22,0.06,3.59,0.18,0.05,66, 0.56 , 0.17 , 0.27 ,7.3,0,1,1,2,1,3,A,A,B,S
58,3.3,2.9,2.1,4.2,1.84,2.9,1.94,1.9,1.62,3.5,4.45,2.35,1.52,3.3,1.28,3.38,0.18,0.05,3.03,0.11,0.04,2.19,0.08,0.04,1, -   , -   , 1.00 ,6.4,0,0,0,1,0,1,D,A,S,S
58,1.4,4.2,5.8,1.86,2.4,5.7,2.07,1.78,2.2,3.5,2.58,1.65,2.1,2.15,1.62,1.48,0.04,0.03,4.4,0.22,0.05,5.57,0.42,0.08,7, 0.86 , 0.14 , -   ,10,4,1,5,2,5,7,H,H,B,B
56,1.38,3.75,7.5,1.96,2.1,7,1.89,1.95,2.4,3.05,2.6,2.13,1.63,3.07,1.32,1.44,0.06,0.04,3.9,0.25,0.06,7.94,1.12,0.14,6, 0.83 , 0.17 , -   ,11.8,0,0,4,0,0,4,D,H,B,S
72,2.07,3.6,2.75,2.55,2.3,3.3,1.87,1.89,3.7,4.1,1.63,2.4,1.5,2.65,1.42,2.27,0.13,0.06,3.47,0.14,0.04,2.76,0.18,0.06,15, 0.40 , 0.33 , 0.27 ,6.2,0,1,1,2,1,3,A,A,B,S
7,2.3,3.05,2.78,3.05,1.95,3.5,1.73,2.06,4.75,3.9,1.51,2.05,1.68,3.05,1.32,2.52,0.1,0.04,3.19,0.12,0.04,2.62,0.12,0.05,66, 0.38 , 0.32 , 0.30 ,5.8,1,1,2,2,2,4,D,D,B,B
6,2.33,2.95,2.82,3,1.9,3.7,2.07,1.72,4.9,3.8,1.51,2.25,1.57,3.3,1.28,2.43,0.08,0.03,3.16,0.11,0.04,2.8,0.1,0.04,27, 0.56 , 0.22 , 0.22 ,6,0,0,0,0,0,0,D,D,S,S
6,1.5,3.7,5.3,2,2.25,5.4,1.73,2.06,2.52,3.35,2.32,3.1,1.31,2.6,1.43,1.65,0.1,0.06,3.67,0.21,0.06,4.95,0.64,0.13,23, 0.35 , 0.57 , 0.09 ,8.6,1,1,3,2,2,5,D,H,B,B
6,9.25,4.75,1.24,7.5,2.5,1.68,NaN,NaN,3.4,3.65,1.78,1.62,2.15,2.4,1.5,7.47,1.25,0.17,4.88,0.3,0.06,1.34,0.05,0.04,6, 0.17 , 0.17 , 0.67 ,12.3,0,1,0,2,1,2,A,A,S,S
36,1.23,5,9,1.67,2.55,7.25,NaN,NaN,1.77,3.65,3.45,1.72,2,2.29,1.55,1.53,0.09,0.06,4.12,0.29,0.07,5.19,0.83,0.16,4, 0.75 , 0.25 , -   ,9.3,2,0,3,0,2,3,H,H,B,B
106,2.85,2.8,2.42,3.7,1.82,3.25,NaN,NaN,1.48,3.7,5.5,2.2,1.59,3.7,1.23,2.39,0.22,0.09,3.03,0.19,0.06,2.98,0.28,0.1,30, 0.37 , 0.47 , 0.17 ,6,0,0,1,0,0,1,D,H,S,S
71,1.67,3.05,5.1,2.45,1.9,5.15,2.02,1.76,3.25,3.1,2.02,2.5,1.46,3.45,1.26,1.68,0.1,0.06,3.4,0.21,0.06,5.31,0.58,0.11,19, 0.42 , 0.16 , 0.42 ,8.7,0,0,0,0,0,0,D,D,S,S
144,1.88,3.75,3.05,2.37,2.45,3.35,1.75,2.04,3.25,3.85,1.78,1.42,2.65,1.73,1.98,2.05,0.07,0.03,3.74,0.14,0.04,3.12,0.13,0.04,0, -   , -   , -   ,6.9,0,2,2,2,2,4,A,D,B,B
71,4.6,2.95,1.77,5.3,1.85,2.5,1.66,2.17,1.88,3.1,3.65,1.7,2.02,1.85,1.85,3.57,0.47,0.13,3.25,0.17,0.05,2.05,0.18,0.09,9, 0.11 , 0.11 , 0.78 ,6.8,2,1,2,2,3,4,H,D,B,B
71,1.61,3.3,5,2.25,2,5.5,NaN,NaN,3.05,3.1,2.1,2.3,1.54,3.2,1.3,1.82,0.12,0.06,3.38,0.18,0.05,4.29,0.46,0.11,35, 0.66 , 0.17 , 0.17 ,7.7,1,0,3,1,1,4,H,H,B,S
106,1.88,3,3.9,2.65,1.92,4.35,1.69,2.12,3.85,3.25,1.78,2.45,1.48,3.55,1.25,1.97,0.05,0.02,3.01,0.1,0.03,4.02,0.25,0.06,8, 0.38 , 0.50 , 0.13 ,7,0,1,1,2,1,3,A,A,B,S
144,1.49,4.1,4.8,1.92,2.5,4.8,1.97,1.8,2.37,3.6,2.33,1.46,2.5,2.1,1.65,1.79,0.1,0.06,3.87,0.17,0.04,3.91,0.34,0.09,1, -   , 1.00 , -   ,7.8,1,0,1,0,1,1,H,H,S,S
144,13.5,6.35,1.12,10.5,2.75,1.49,NaN,NaN,2.05,3.85,2.62,1.65,2.1,2.2,1.59,11.34,1.46,0.13,6.28,0.37,0.06,1.21,0.03,0.03,0, -   , -   , -   ,17.6,0,0,0,0,0,0,D,D,S,S
