Pkey,CSV,SC_ID,Region,GLG,Weight,d15N,d13C,N_per,C_per,YOB,CalenderYear
303,20180906.csv,JMSC170920,MPRE,12,0.341,12.1,-14.2,2.8,7.6,2000,2012
304,20180907.csv,JMSC140422,WPRE,1,1.351,17.7,-17.4,2.4,7.7,2007,2008
305,20180907.csv,JMSC140422,WPRE,2,1.816,17.1,-16.1,0.6,1.8,2007,2009
306,20180907.csv,JMSC140422,WPRE,3,1.643,15,-15.6,2.1,6,2007,2010
307,20180907.csv,JMSC140422,WPRE,4,1.003,14.3,-15.1,2.5,6.7,2007,2011
308,20180907.csv,JMSC140422,WPRE,5,1.002,14.7,-15.2,2,5.9,2007,2012
309,20180907.csv,JMSC140422,WPRE,6,0.74,14.7,-16,2.6,7.8,2007,2013
310,20180907.csv,JMSC140422,WPRE,7,0.603,14.2,-15.6,2.8,8,2007,2014
311,P7,JMSC140422-2,WPRE,1,1.76,18.4,-15,2.28,6.43,2007,2008
312,P8,JMSC140422-2,WPRE,2,1.056,15.8,-15.3,2.45,6.92,2007,2009
313,P9,JMSC140422-2,WPRE,3,0.639,14.3,-15.4,2.45,6.77,2007,2010
314,P10,JMSC140422-2,WPRE,4,0.989,15.1,-14.7,2.34,6.76,2007,2011
315,P11,JMSC140422-2,WPRE,5,0.799,13.9,-15.1,2.35,6.66,2007,2012
316,P12,JMSC140422-2,WPRE,6,0.71,13.6,-15.7,2.54,7.22,2007,2013
317,20180907.csv,JMSC150121,WPRE,1,0.419,15.7,-13.5,7.9,20.8,2004,2005
318,20180907.csv,JMSC150121,WPRE,2,0.763,13.8,-14,2.5,6.8,2004,2006
319,20180907.csv,JMSC150121,WPRE,3,0.528,13.1,-14.1,2.7,7.6,2004,2007
320,20180907.csv,JMSC150121,WPRE,4,0.353,12.6,-14,3.2,8.9,2004,2008
321,20180907.csv,JMSC150121,WPRE,5,0.557,12.6,-13.9,2.8,7.8,2004,2009
322,20180907.csv,JMSC150121,WPRE,6,0.386,12.9,-13.7,2.9,8,2004,2010
323,20180907.csv,JMSC150121,WPRE,7,0.381,12.6,-13.7,2.8,7.6,2004,2011
324,20180907.csv,JMSC150121,WPRE,8,0.624,14,-13.6,2.3,6.6,2004,2012
325,20180907.csv,JMSC150121,WPRE,9,0.213,11,-14,3.5,9.3,2004,2013
326,20180907.csv,JMSC150121,WPRE,10,0.218,10.5,-14.2,3.3,8.6,2004,2014
327,20180907.csv,MASC170718,MPRE,1,1.151,15.6,-15.7,2.5,6.6,2008,2009
328,20180907.csv,MASC170718,MPRE,2,1.212,14.6,-15.6,0.8,2.3,2008,2010
329,20180907.csv,MASC170718,MPRE,3,1.042,14.4,-16.5,2.6,7.2,2008,2011
330,20180907.csv,MASC170718,MPRE,4,1.123,14.6,-17.5,2.5,7.2,2008,2012
331,20180907.csv,MASC170718,MPRE,5,1.201,14.4,-17.5,2.5,7.4,2008,2013
332,20180907.csv,MASC170718,MPRE,6,1.403,14.6,-16.7,1.9,5.6,2008,2014
333,20180921.csv,MASC170718,MPRE,7,1.068,12.4,-16.5,2.8,8.2,2008,2015
334,20180921.csv,MASC170718,MPRE,8,1.004,11.7,-16.8,2.6,7.6,2008,2016
335,20180921.csv,JMSC170201,WPRE,1,1.102,16.6,-14.4,2.2,6.1,2009,2010
336,20180921.csv,JMSC170201,WPRE,2,0.873,15.1,-14.3,2.6,7.4,2009,2011
337,20180921.csv,MASC160323,MPRE,1,1.1,14.8,-15.1,2.3,6.6,2008,2009
338,20180921.csv,MASC160323,MPRE,2,0.861,14.2,-15.1,2.5,7.2,2008,2010
339,20180921.csv,MASC160323,MPRE,3,1.012,13.7,-15.3,2.5,7.1,2008,2011
340,20180921.csv,MASC160323,MPRE,4,0.937,13.8,-15.3,2.4,7.1,2008,2012
341,20180921.csv,MASC160323,MPRE,5,1.042,13.6,-14.9,2.4,6.8,2008,2013
342,20180921.csv,MASC160323,MPRE,6,1.37,14.1,-15.3,2.5,7.4,2008,2014
343,20180921.csv,MASC160323,MPRE,7,0.658,14,-14.9,2.8,8.3,2008,2015
344,20180921.csv,MASC160323,MPRE,8,0.745,13.1,-14.6,2.7,7.7,2008,2016
345,20180921.csv,MASC160323,MPRE,9,0.461,12.2,-15.2,3.1,9,2008,2017
346,20180921.csv,ZHSC180117,MPRE,1,2.42,16.8,-14.9,2.2,6.4,2010,2011
347,20180921.csv,ZHSC180117,MPRE,2,2.202,13.9,-16.1,0.9,2.7,2010,2012
348,20180921.csv,ZHSC180117,MPRE,3,0.929,13,-16.1,1.4,4.2,2010,2013
349,20180921.csv,ZHSC180117,MPRE,4,0.937,13.8,-15.6,2.8,8.2,2010,2014
350,20180921.csv,ZHSC180117,MPRE,5,1.207,13.3,-15.6,2.7,8,2010,2015
351,20180921.csv,ZHSC180117,MPRE,6,0.925,12.1,-16.4,2.8,8.2,2010,2016
352,20180921.csv,ZHSC180117,MPRE,7,0.858,12.4,-15.9,3,8.6,2010,2017
353,20180927.csv,JMSC170201,WPRE,3,0.721,13.7,-14.4,2.3,6.4,2009,2012
354,20180927.csv,JMSC170201,WPRE,4,0.592,12.9,-15.3,2.4,7,2009,2013
355,20180927.csv,JMSC170201,WPRE,5,0.504,12.5,-15,2.9,8.2,2009,2014
356,20180927.csv,JMSC170201,WPRE,6,0.546,11.8,-14.4,2.8,7.7,2009,2015
357,20180927.csv,JMSC170201,WPRE,7,0.56,13.8,-14.9,3.3,9.6,2009,2016
358,20180927.csv,ZHSC160614,NA,1,3.576,16.9,-12.3,1.3,3.4,2011,2012
359,20180927.csv,ZHSC160614,NA,2,2.849,12.9,-14.8,0.3,0.9,2011,2013
360,20180927.csv,ZHSC160614,NA,3,2.227,15.9,-13,1.7,5.1,2011,2014
361,20180927.csv,ZHSC160614,NA,4,1.792,20.6,-18.4,1.8,5.4,2011,2015
362,20180927.csv,ZHSC161214,MPRE,0,1.498,16.6,-16,2.4,7,2009,2009
363,20180927.csv,ZHSC161214,MPRE,1,1.418,14.4,-17.2,2.2,6.7,2009,2010
364,20180927.csv,ZHSC161214,MPRE,2,1.285,14.5,-17.7,2.5,7.8,2009,2011
365,20180927.csv,ZHSC161214,MPRE,4,1.085,13.5,-18,2.3,7.1,2009,2013
366,20180927.csv,ZHSC161214,MPRE,5,1.654,13.5,-17.8,2.4,7.4,2009,2014
367,20180927.csv,ZHSC161214,MPRE,6,1.627,12.5,-18,2.1,6.2,2009,2015
368,20181206.csv,ZHSC160617,MPRE,2,1.14,15.1,-13.6,2.3,6.7,2004,2006
369,20181206.csv,ZHSC160617,MPRE,3,0.786,13.3,-14.4,2.4,6.9,2004,2007
370,20181206.csv,ZHSC160617,MPRE,4,0.672,12.5,-14.9,2.3,6.7,2004,2008
371,20181206.csv,ZHSC160617,MPRE,5,1.633,14.4,-14,2.2,6.5,2004,2009
372,20181206.csv,ZHSC160617,MPRE,6,1.164,17.1,-9.9,2.3,7,2004,2010
373,20181206.csv,ZHSC160617,MPRE,7,1.211,13.7,-14.5,2.3,6.8,2004,2011
374,20181206.csv,ZHSC160617,MPRE,8,0.84,13.3,-14.6,2.4,7.1,2004,2012
375,20181206.csv,ZHSC160617,MPRE,9,0.86,13.7,-14.6,2.4,7,2004,2013
376,20181206.csv,ZHSC160617,MPRE,10,0.869,15,-14.5,2.4,7.1,2004,2014
377,20181206.csv,ZHSC170407,MPRE,2,2.293,16.4,-15.6,2.8,8.1,2013,2015
378,20181206.csv,ZHSC170407,MPRE,3,2.318,14.7,-15.1,2.4,7.1,2013,2016
379,20181206.csv,ZHSC170407,MPRE,4,1.713,12.4,-16.1,2.5,7.3,2013,2017
380,20181206.csv,ZHSC170502,MPRE,1,2.091,16.3,-14.6,2.2,6.3,2014,2015
381,20181206.csv,ZHSC170502,MPRE,2,1.955,14.7,-16.4,2.2,6.5,2014,2016
382,20181206.csv,ZHSC170502,MPRE,3,1.64,13.9,-16.6,2.4,7,2014,2017
383,20181206.csv,ZHSC170907,WPRE,1,1.368,16,-14.3,1.9,5.5,1996,1997
384,20181206.csv,ZHSC170907,WPRE,2,1.345,14.7,-15,2.1,6.1,1996,1998
385,20181206.csv,ZHSC170907,WPRE,3,1.319,13.8,-14.9,2.1,6.3,1996,1999
386,20181206.csv,ZHSC170907,WPRE,4,1.653,13.7,-14.7,2.1,6.3,1996,2000
387,20181206.csv,ZHSC170907,WPRE,5,1.502,14.3,-14.5,2.1,6.4,1996,2001
388,20181206.csv,ZHSC170907,WPRE,7,1.821,21.6,-15.6,2.3,7.2,1996,2003
389,20181206.csv,ZHSC170907,WPRE,8,1.16,18.7,-15.6,2.2,7,1996,2004
390,20190129.csv,ZHSC170907,WPRE,9,1.128,13.7,-14.4,2.39,6.96,1996,2005
391,20190129.csv,ZHSC170907,WPRE,10,1.039,14.2,-14.7,2.56,7.35,1996,2006
392,20190129.csv,ZHSC170907,WPRE,11,0.938,14,-15,2.59,7.44,1996,2007
393,20190129.csv,ZHSC170907,WPRE,13,0.813,14.3,-15.3,2.52,7.44,1996,2009
394,20190129.csv,ZHSC170907,WPRE,14,0.81,13.6,-14.9,2.55,7.51,1996,2010
395,20190129.csv,ZHSC170907,WPRE,15,0.824,13.8,-17.3,3.5,10.32,1996,2011
396,20190129.csv,ZHSC101003,EPRE,2,2.769,15.6,-15,2.05,6.03,2004,2006
397,20190129.csv,ZHSC101003,EPRE,3,1.939,15.3,-15.1,2.32,6.8,2004,2007
398,20190129.csv,ZHSC101003,EPRE,4,1.97,15,-15.3,2.25,6.73,2004,2008
399,20190129.csv,ZHSC101003,EPRE,5,2.18,14.8,-15.3,2.31,6.92,2004,2009
400,20190129.csv,ZHSC101003,EPRE,6,1.524,14.1,-15.3,2.4,7.16,2004,2010
401,20190129.csv,ZHSC170718,MPRE,0,2.665,17.9,-15.2,2.33,6.68,2007,2007
402,20190129.csv,ZHSC170718,MPRE,1,1.872,16.8,-15.5,2.55,7.39,2007,2008
403,20190129.csv,ZHSC170718,MPRE,2,1.586,15.7,-16.1,2.57,7.48,2007,2009
404,20190129.csv,ZHSC170718,MPRE,3,1.414,15,-16.9,2.73,8.02,2007,2010
405,20190129.csv,ZHSC170718,MPRE,5,1.513,13.8,-16.3,2.55,7.36,2007,2012
406,20190129.csv,ZHSC170718,MPRE,6,1.112,13.4,-15.9,2.6,7.76,2007,2013
407,20190129.csv,ZHSC170718,MPRE,7,0.798,12.2,-16.6,2.84,8.4,2007,2014
408,20190129.csv,ZHSC110915,EPRE,1,1.488,16.8,-16.4,2.43,6.87,2004,2005
409,20190129.csv,ZHSC110915,EPRE,2,1.599,15.7,-17.3,2.54,7.42,2004,2006
410,20190129.csv,ZHSC110915,EPRE,3,1.589,15.3,-17.5,2.35,6.96,2004,2007
411,20190129.csv,ZHSC110915,EPRE,4,1.577,15.3,-17.9,2.35,6.95,2004,2008
412,20190129.csv,ZHSC110915,EPRE,5,1.871,14.8,-17.8,2.57,7.59,2004,2009
413,20190129.csv,ZHSC110915,EPRE,6,1.069,14.1,-18.2,2.78,8.22,2004,2010
414,20190129.csv,ZHSC170920,MPRE,0,3.483,19.5,-14.3,2.28,6.52,2009,2009
415,20190129.csv,ZHSC170920,MPRE,1,2.238,17.5,-14.7,2.38,6.94,2009,2010
416,20190129.csv,ZHSC170920,MPRE,2,2.042,16.5,-14.6,2.46,7.34,2009,2011
417,20190129.csv,ZHSC170920,MPRE,3,1.746,15.8,-14.5,2.47,7.46,2009,2012
418,20190129.csv,ZHSC170920,MPRE,4,1.469,14.8,-15,2.62,7.98,2009,2013
419,20190129.csv,ZHSC170920,MPRE,5,1.248,14.4,-14.9,2.59,7.96,2009,2014
420,20190129.csv,ZHSC100722,EPRE,1,0.96,15.6,-14.3,2.44,7.01,2003,2004
421,20190129.csv,ZHSC100722,EPRE,3,1.234,14.6,-14.6,2.53,7.49,2003,2006
422,20190129.csv,ZHSC100722,EPRE,4,1.15,14.5,-14.8,2.42,7.21,2003,2007
423,20190129.csv,ZHSC100722,EPRE,5,1.316,14.5,-15,2.35,7.12,2003,2008
424,20190129.csv,ZHSC100722,EPRE,6,0.861,13.8,-14.9,2.39,7.14,2003,2009
425,20190129.csv,ZHSC100722,EPRE,7,0.649,13.3,-14.9,2.65,7.97,2003,2010
426,20190129.csv,ZHSC170711,MPRE,1,2.12,17.7,-13.9,1.98,5.67,1993,1994
427,20190129.csv,ZHSC170711,MPRE,2,1.927,15.7,-14.4,2.19,6.3,1993,1995
428,20190129.csv,ZHSC170711,MPRE,3,2.135,14.7,-14.6,2.24,6.45,1993,1996
429,20190129.csv,ZHSC170711,MPRE,4,2.485,13.8,-14.2,2.09,6.14,1993,1997
430,20190129.csv,ZHSC170711,MPRE,5,2.27,13.6,-14.1,2.24,6.61,1993,1998
431,20190129.csv,ZHSC170711,MPRE,6,1.818,13,-13.7,2.56,7.59,1993,1999
432,20190129.csv,ZHSC170711,MPRE,7,2.107,13.1,-13.7,2.14,6.4,1993,2000
433,20190129.csv,ZHSC170711,MPRE,8,2.145,13.5,-13.8,2.34,7,1993,2001
434,20190129.csv,ZHSC170711,MPRE,10,2.22,13.6,-14.2,2.25,6.79,1993,2003
435,20190129.csv,ZHSC170711,MPRE,11,1.323,13.2,-14,2.28,6.81,1993,2004
436,20190129.csv,ZHSC170711,MPRE,12,1.139,13.4,-13.9,2.42,7.28,1993,2005
437,20190129.csv,ZHSC170711,MPRE,13,0.747,12.2,-13.9,2.48,7.42,1993,2006
438,20190129.csv,ZHSC170711,MPRE,14,0.689,12.2,-14.1,2.5,7.5,1993,2007
439,20190129.csv,ZHSC170711,MPRE,15,0.702,12.2,-14.6,2.6,8,1993,2008
440,20190129.csv,ZHSC170827,MPRE,1,2.084,15.3,-14.2,2.19,6.2,1997,1998
442,20190129.csv,ZHSC170827,MPRE,3,1.491,13.5,-14,2.33,6.91,1997,2000
443,20190129.csv,ZHSC170827,MPRE,4,1.354,12.9,-13.8,2.22,6.62,1997,2001
444,20190129.csv,ZHSC170827,MPRE,5,1.334,13.4,-13.8,2.26,6.78,1997,2002
445,20190129.csv,ZHSC170827,MPRE,6,1.246,13.3,-13.6,2.23,6.64,1997,2003
446,20190129.csv,ZHSC170827,MPRE,7,0.857,13,-13.8,2.4,7.19,1997,2004
447,20190129.csv,ZHSC170827,MPRE,8,1.315,13.3,-13.7,2.37,7.1,1997,2005
448,20190129.csv,ZHSC170827,MPRE,9,1.094,13.3,-13.5,2.52,7.52,1997,2006
449,20190129.csv,ZHSC170827,MPRE,10,1.139,13.3,-14.2,2.55,7.7,1997,2007
450,20190129.csv,ZHSC170827,MPRE,11,1.074,13.5,-14,2.41,7.22,1997,2008
451,20190129.csv,ZHSC170827,MPRE,12,0.819,13.3,-14,2.48,7.41,1997,2009
452,20190129.csv,ZHSC170827,MPRE,13,0.638,12.7,-14.5,2.49,7.51,1997,2010
453,20190129.csv,ZHSC170827,MPRE,14,0.729,12.9,-14,2.52,7.57,1997,2011
454,20190129.csv,ZHSC170827,MPRE,15,0.681,12.7,-14,2.58,7.67,1997,2012
455,20190129.csv,ZHSC170907,WPRE,12,0.866,13.9,-15.1,2.46,7.43,1996,2008
457,G2,HKSC170809,HK,2,0.814,13.5,-13.8,2.21,6.54,2002,2004
458,G3,HKSC170809,HK,3,1.519,13.9,-13.3,2.1,6.17,2002,2005
459,G4,HKSC170809,HK,4,1.059,13.7,-13.5,2.17,6.43,2002,2006
460,G5,HKSC170809,HK,5,0.931,13.5,-13.8,2.05,6.22,2002,2007
461,G6,HKSC170809,HK,6,1.432,14.1,-13.4,2.24,6.74,2002,2008
462,G7,HKSC170809,HK,7,1.122,14.5,-13.5,2.29,6.92,2002,2009
463,G8,HKSC170809,HK,8,0.796,14.1,-13.7,2.24,6.77,2002,2010
464,G9,HKSC170809,HK,9,1.037,14.5,-13.2,2.26,6.75,2002,2011
465,G10,HKSC170809,HK,10,0.933,14.8,-13.1,2.3,6.93,2002,2012
466,G11,HKSC170809,HK,11,0.864,14.6,-13.1,2.27,6.81,2002,2013
467,G12,HKSC170809,HK,12,0.826,14.6,-13.6,2.26,7.03,2002,2014
468,G13,HKSC170809,HK,13,0.715,14.6,-13.8,2.2,6.8,2002,2015
469,G14,HKSC170809,HK,14,0.662,15.1,-13.6,2.37,7.25,2002,2016
470,G15,HKSC110602-2,HK,1,2.31,16.1,-14,1.97,5.71,1988,1989
471,G16,HKSC110602-2,HK,2,1.964,13.1,-14.1,2.22,6.38,1988,1990
472,G17,HKSC110602-2,HK,3,1.847,12.8,-14.5,2.06,6.17,1988,1991
473,G18,HKSC110602-2,HK,4,1.865,12.5,-14.5,1.98,5.83,1988,1992
474,G19,HKSC110602-2,HK,5,1.563,11.6,-14.4,2.14,6.36,1988,1993
475,G20,HKSC110602-2,HK,6,2.323,11.6,-14.1,2.03,6.01,1988,1994
476,G21,HKSC110602-2,HK,7,1.423,11.8,-14.9,2.11,6.91,1988,1995
477,G22,HKSC110602-2,HK,8,1.262,12.7,-13.8,2.11,6.36,1988,1996
478,G23,HKSC110602-2,HK,9,1.366,12.9,-14.1,2.17,6.36,1988,1997
479,G24,HKSC110602-2,HK,10,1.462,12.4,-13.8,2.08,6.19,1988,1998
480,G25,HKSC110602-2,HK,11,1.167,12.7,-14.3,2.19,6.69,1988,1999
481,G26,HKSC110602-2,HK,12,1.271,12,-13.8,2.24,6.74,1988,2000
496,G41,HKSC140407,HK,1,2.585,15.9,-15.1,2.01,5.69,2002,2003
497,G42,HKSC140407,HK,2,1.439,14.1,-14.5,2.27,6.73,2002,2004
498,G43,HKSC140407,HK,3,1.382,13.3,-15,2.11,5.99,2002,2005
499,G44,HKSC140407,HK,4,1.275,13.6,-13.8,2.19,6.69,2002,2006
500,G45,HKSC140407,HK,5,1.066,13.4,-14.4,2.05,6.25,2002,2007
501,G46,HKSC140407,HK,6,0.886,12.5,-14.2,1.96,5.7,2002,2008
502,G47,HKSC140407,HK,7,0.836,13.2,-14.7,2.08,6.4,2002,2009
503,G48,HKSC140407,HK,8,1.692,13.9,-14.1,2.13,6.37,2002,2010
504,G49,HKSC140407,HK,9,1.042,13.5,-13.6,2.14,6.55,2002,2011
505,G50,HKSC140407,HK,10,0.96,13.6,-13.5,2.25,6.86,2002,2012
506,G51,HKSC140407,HK,11,0.948,12.9,-13.9,2.25,6.79,2002,2013
507,G52,HKSC140407,HK,12,0.8,12.7,-13.8,2.42,7.31,2002,2014
508,G53,ZHSC100419,MPRE,1,1.243,17,-14.2,2.05,5.97,1992,1993
509,G54,ZHSC100419,MPRE,2,1.289,14.5,-14.8,2.24,6.6,1992,1994
510,G55,ZHSC100419,MPRE,3,1.091,13.8,-14.6,2.07,6.16,1992,1995
511,G56,ZHSC100419,MPRE,4,1.015,13.5,-14.7,2.05,6.14,1992,1996
512,G57,ZHSC100419,MPRE,5,0.857,13.3,-14.2,2.07,6.21,1992,1997
513,G58,ZHSC100419,MPRE,6,1.102,13.5,-14.4,1.97,5.82,1992,1998
514,G59,ZHSC100419,MPRE,7,0.695,13.7,-15.1,2.18,6.61,1992,1999
515,G60,ZHSC100419,MPRE,8,0.614,13.5,-15.4,2.04,6.18,1992,2000
516,G61,ZHSC100419,MPRE,9,0.733,13.5,-15.8,2.15,6.54,1992,2001
517,G62,ZHSC100419,MPRE,10,0.651,13.8,-15.9,2.14,6.52,1992,2002
518,G63,ZHSC100419,MPRE,11,0.908,14.4,-15.2,2.35,7.02,1992,2003
519,G64,ZHSC100419,MPRE,12,0.686,13.8,-15.4,2.36,7.05,1992,2004
520,G65,ZHSC100419,MPRE,13,0.614,13,-14.7,2.41,7.26,1992,2005
521,G66,ZHSC100419,MPRE,14,0.571,13.6,-15.6,2.412,7.37,1992,2006
522,G67,ZHSC100419,MPRE,15,0.511,14,-15.8,2.613,7.753,1992,2007
523,G68,ZHSC100419,MPRE,16,0.527,14.1,-17.4,2.566,7.55,1992,2008
524,G69,ZHSC170521,MPRE,0,1.856,17.9,-13.7,1.914,5.441,2002,2002
525,G70,ZHSC170521,MPRE,1,1.253,15.9,-14.9,2.219,6.43,2002,2003
526,G71,ZHSC170521,MPRE,2,1.432,15.2,-14.2,2.111,6.325,2002,2004
527,G72,ZHSC170521,MPRE,3,0.956,14.2,-14.1,2.14,6.41,2002,2005
528,G73,ZHSC170521,MPRE,4,0.726,13.9,-14.1,2.205,6.614,2002,2006
529,G74,ZHSC170521,MPRE,5,1.706,14.6,-13.9,2.175,6.544,2002,2007
530,G75,ZHSC170521,MPRE,6,0.917,14.8,-14.4,2.481,7.332,2002,2008
531,G76,ZHSC170521,MPRE,7,NA,NA,NA,NA,NA,2002,2009
532,G77,ZHSC170521,MPRE,8,0.869,15.4,-14.8,2.586,7.686,2002,2010
533,G78,ZHSC170521,MPRE,9,1.174,15.4,-14.7,2.543,7.472,2002,2011
534,G79,ZHSC170521,MPRE,10,0.702,14.5,-15.4,2.55,7.825,2002,2012
535,H1,HKSC151601_Hope,HK,1,0.607,14.8,-14.9,2.81,8.24,1986,1987
536,H10,HKSC151601_Hope,HK,10,0.558,13,-14.5,2.94,8.49,1986,1996
537,H11,HKSC151601_Hope,HK,11,0.653,12.9,-14.5,3.05,8.86,1986,1997
538,H12,HKSC151601_Hope,HK,12,0.597,12.8,-14.8,3.02,8.75,1986,1998
539,H13,HKSC151601_Hope,HK,13,0.49,12.8,-14.7,3.25,9.29,1986,1999
540,H14,HKSC151601_Hope,HK,14,0.514,12.6,-14.7,3.27,9.48,1986,2000
541,H15,HKSC151601_Hope,HK,15,0.508,12.4,-14.7,3.26,9.63,1986,2001
542,H16,HKSC151601_Hope,HK,16,0.407,12.5,-14.5,3.37,9.65,1986,2002
543,H17,HKSC151601_Hope,HK,17,0.329,10.7,-15.1,3.6,10.51,1986,2003
544,H18,HKSC151601_Hope,HK,18,0.413,11.2,-15,3.32,9.65,1986,2004
545,H19,HKSC151601_Hope,HK,19,0.302,11.3,-15.2,3.8,10.95,1986,2005
546,H2,HKSC151601_Hope,HK,2,0.831,14,-15.1,2.56,7.61,1986,1988
547,H3,HKSC151601_Hope,HK,3,0.96,13.5,-15,2.67,7.91,1986,1989
548,H4,HKSC151601_Hope,HK,4,0.96,13.3,-15.2,2.12,6.31,1986,1990
549,H5,HKSC151601_Hope,HK,5,0.643,12.6,-15,2.77,8.15,1986,1991
550,H6,HKSC151601_Hope,HK,6,0.748,12.7,-14.9,2.75,8.05,1986,1992
551,H7,HKSC151601_Hope,HK,7,0.98,13.6,-14.4,2.75,8.06,1986,1993
552,H8,HKSC151601_Hope,HK,8,1.037,13.5,-14.7,2.75,8.18,1986,1994
553,H9,HKSC151601_Hope,HK,9,0.722,13.3,-14.6,2.93,8.6,1986,1995
554,P1,ZHSC160302,MPRE,0,0.753,14.9,-15.4,2.36,6.45,2008,2008
555,P2,ZHSC160302,MPRE,1,0.97,14.9,-17.8,2.27,5.9,2008,2009
556,P3,ZHSC160302,MPRE,2,0.68,12.2,-15.2,2.16,5.94,2008,2010
557,P4,ZHSC160302,MPRE,3,0.808,13.8,-15.2,2.27,6.7,2008,2011
558,P5,ZHSC160302,MPRE,4,0.705,13.3,-15,2.3,6.61,2008,2012
559,P6,ZHSC160302,MPRE,5,0.676,13.1,-15,2.35,6.78,2008,2013
560,P13,JMSC170818,NA,1,1.084,14.6,-13.7,2.35,6.8,2012,2013
561,P14,JMSC170818,NA,2,0.608,13.5,-13.7,2.51,7.19,2012,2014
562,P15,JMSC170818,NA,3,0.603,12.5,-13.7,2.26,6.55,2012,2015
563,P16,JMSC170818,NA,4,0.446,11.7,-14.5,2.58,7.51,2012,2016
564,P17,ZHSC110512,EPRE,1,1.399,17.4,-16.1,2.04,5.95,2006,2007
565,P18,ZHSC110512,EPRE,2,1.056,16.2,-16.6,2.21,6.38,2006,2008
566,P19,ZHSC110512,EPRE,3,1.009,15.5,-17,2.34,6.7,2006,2009
567,P20,ZHSC110512,EPRE,4,1.145,15.6,-17.2,2.45,7.05,2006,2010
568,P21,ZHSC110512,EPRE,5,1.176,15.2,-17.6,2.43,7.24,2006,2011
569,P22,ZHSC110512,EPRE,6,1.005,14.7,-17.5,2.46,7.01,2006,2012
570,P23,ZHSC110512,EPRE,7,0.921,14.9,-17.6,2.49,7.32,2006,2013
571,P24,ZHSC171003,EPRE,1,2.99,16.6,-14.5,2.09,6.17,1998,1999
572,P25,ZHSC171003,EPRE,2,1.893,15.4,-14.8,2.43,7.25,1998,2000
573,P26,ZHSC171003,EPRE,3,1.649,14.6,-14.7,2.42,7.22,1998,2001
574,P27,ZHSC171003,EPRE,4,1.311,13.7,-14.8,2.49,7.44,1998,2002
575,P28,ZHSC171003,EPRE,5,1.254,14.1,-14.6,2.32,6.99,1998,2003
576,P29,ZHSC171003,EPRE,6,1.255,14.1,-14.6,2.4,7.24,1998,2004
577,P30,ZHSC171003,EPRE,7,1.334,13.9,-15.2,2.35,7.28,1998,2005
578,P31,ZHSC171003,EPRE,8,1.09,14.1,-14.9,2.41,7.39,1998,2006
579,P32,ZHSC171003,EPRE,9,1.017,14.1,-14.3,2.36,7,1998,2007
580,P33,ZHSC171003,EPRE,10,0.945,13.5,-14.3,2.41,7.17,1998,2008
581,P34,ZHSC171003,EPRE,11,1.489,13.7,-14,2.37,7.11,1998,2009
582,P35,ZHSC171003,EPRE,13,1.206,13.6,-14.2,2.45,7.45,1998,2011
583,P36,ZHSC171003,EPRE,15,1.028,12.8,-14.1,2.63,7.78,1998,2013
584,P37,ZHSC110618,EPRE,1,2.05,17.3,-14.3,2.45,7.34,1988,1989
585,P38,ZHSC110618,EPRE,2,0.901,14.6,-14.9,2.82,8.19,1988,1990
586,P39,ZHSC110618,EPRE,3,0.887,14.3,-14.7,2.75,8.25,1988,1991
587,P40,ZHSC110618,EPRE,4,2.703,14.7,-14.2,2.53,7.66,1988,1992
588,P41,ZHSC110618,EPRE,5,1.919,14.6,-15,2.35,7.38,1988,1993
589,P42,ZHSC110618,EPRE,6,1.687,14.5,-14.6,2.49,7.48,1988,1994
590,P43,ZHSC110618,EPRE,7,1.616,14.6,-14.6,2.55,7.77,1988,1995
591,P44,ZHSC110618,EPRE,8,1.36,14.6,-14.6,2.54,7.67,1988,1996
592,P45,ZHSC110618,EPRE,9,1.323,14.4,-14.5,2.66,8.03,1988,1997
593,P46,ZHSC110618,EPRE,10,0.877,13.9,-14.5,2.72,8.15,1988,1998
594,P47,ZHSC110618,EPRE,11,0.62,13.7,-14.6,2.78,8.21,1988,1999
595,P48,ZHSC110618,EPRE,12,0.488,12.7,-14.7,2.78,8.12,1988,2000
596,P49,ZHSC110618,EPRE,13,0.508,12.8,-14.4,2.48,7.25,1988,2001
597,P50,ZHSC110618,EPRE,14,0.409,12.7,-14.7,2.77,8.02,1988,2002
598,P51,ZHSC110618,EPRE,15,0.422,13,-14.8,2.69,7.81,1988,2003
599,P52,ZHSC161213,MPRE,1,3.758,18.3,-14.9,1.99,5.84,1997,1998
600,P53,ZHSC161213,MPRE,2,2.737,15.7,-16,2.24,6.77,1997,1999
601,P54,ZHSC161213,MPRE,3,2.737,15.1,-15.5,2.68,7.91,1997,2000
602,P55,ZHSC161213,MPRE,4,1.872,14.6,-15.6,2.63,7.69,1997,2001
603,P56,ZHSC161213,MPRE,5,2.267,14.5,-15.3,2.6,7.76,1997,2002
604,P57,ZHSC161213,MPRE,6,1.94,14.1,-15.5,2.39,7.19,1997,2003
605,P58,ZHSC161213,MPRE,7,1.941,14.1,-16,2.68,8.15,1997,2004
606,P59,ZHSC161213,MPRE,8,0.765,13.5,-16.4,2.9,8.7,1997,2005
607,P60,ZHSC161213,MPRE,9,1.433,14.1,-16.5,2.72,8.3,1997,2006
608,P61,ZHSC161213,MPRE,10,1.262,14.6,-16.6,2.68,8.05,1997,2007
